iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.225,0.23124999,0.2125,0.17500001
20,0.22500001,0.2125,0.1875,0.1875
30,0.1875,0.2125,0.2375,0.2
40,0.2,0.2,0.2,0.2125
50,0.15,0.23750001,0.175,0.2125
60,0.2125,0.28750002,0.2,0.3125
70,0.2,0.275,0.225,0.23750001
80,0.15,0.33750004,0.1875,0.3
90,0.2,0.32500002,0.2125,0.28750002
100,0.1625,0.3625,0.225,0.2625
110,0.23750001,0.28750002,0.2125,0.3625
120,0.16250001,0.33750004,0.2,0.35000002
130,0.17500001,0.3375,0.15,0.3875
140,0.1125,0.26250002,0.1875,0.3
150,0.2,0.3625,0.25,0.3625
160,0.1875,0.4,0.2,0.33750004
170,0.1875,0.4,0.25,0.4625
180,0.23750001,0.3125,0.225,0.35
190,0.17500001,0.28750002,0.17500001,0.3875
200,0.17500001,0.32500002,0.175,0.35000002
210,0.25,0.32500002,0.17500001,0.3375
220,0.175,0.375,0.25,0.32500002
230,0.19999999,0.35000002,0.17500001,0.3625
240,0.1875,0.38750002,0.2,0.325
250,0.17500001,0.375,0.23750001,0.4
260,0.2125,0.4,0.23750001,0.4
270,0.1875,0.3625,0.17500001,0.375
280,0.1875,0.375,0.1375,0.35000002
290,0.1375,0.32500002,0.175,0.33750004
300,0.16250001,0.4,0.22500001,0.3625
310,0.1625,0.375,0.1875,0.38750002
320,0.1625,0.3875,0.1875,0.3875
330,0.1375,0.4,0.1875,0.4
340,0.2125,0.4,0.225,0.3625
350,0.19999999,0.3875,0.1875,0.41250002
360,0.1875,0.4375,0.175,0.375
370,0.1625,0.4,0.2625,0.5
380,0.21249999,0.38750002,0.2125,0.4875
390,0.20000002,0.5,0.23750001,0.475
400,0.2625,0.52500004,0.1875,0.3625
410,0.275,0.45,0.2,0.58750004
420,0.17500001,0.4875,0.275,0.55
430,0.2125,0.475,0.2125,0.47500002
440,0.2625,0.525,0.25,0.425
450,0.2,0.525,0.125,0.5375
460,0.19999999,0.51250005,0.2625,0.45
470,0.25,0.5125,0.1875,0.575
480,0.1875,0.5375,0.2,0.5
490,0.1375,0.525,0.16250001,0.5375
500,0.22500001,0.5125,0.23750001,0.6
510,0.19999999,0.58750004,0.16250001,0.525
520,0.1875,0.6,0.2875,0.63750005
530,0.2125,0.5375,0.2125,0.55
540,0.19999999,0.525,0.1875,0.5
550,0.225,0.57500005,0.25,0.5500001
560,0.17500001,0.5625,0.2,0.625
570,0.1375,0.6125,0.225,0.6625
580,0.175,0.625,0.17500001,0.5375
590,0.2125,0.57500005,0.17500001,0.65000004
600,0.17500001,0.675,0.175,0.575
610,0.2125,0.55,0.2125,0.6
620,0.17500001,0.6125,0.1875,0.5625
630,0.1625,0.5375,0.23750001,0.625
640,0.17500001,0.6625,0.2125,0.65000004
650,0.25,0.65000004,0.225,0.6750001
660,0.25,0.65000004,0.2,0.625
670,0.125,0.6,0.1875,0.6625
680,0.275,0.63750005,0.2375,0.57500005
690,0.2,0.70000005,0.15,0.575
700,0.2125,0.675,0.16250001,0.5625
710,0.2125,0.675,0.2625,0.5875
720,0.2625,0.55,0.1875,0.65000004
730,0.25,0.70000005,0.225,0.5375
740,0.15,0.71250004,0.25,0.65000004
750,0.25,0.71250004,0.2125,0.58750004
760,0.25,0.63750005,0.1625,0.675
770,0.225,0.7125,0.25,0.54999995
780,0.175,0.6,0.1625,0.6875
790,0.112500004,0.65,0.2625,0.725
800,0.20000002,0.675,0.2375,0.63750005
