iter,task_train_loss_pre_optim,task_train_loss_post_optim,task_test_loss_pre_optim,task_test_loss_post_optim
10,0.83267224,0.51938593,0.3499257,0.1965839
20,0.34334633,0.15712476,0.30419403,0.11127743
30,0.23576097,0.13768315,0.2455945,0.17324841
40,0.24899776,0.09867175,0.25067997,0.18316956
50,0.12616828,0.120166555,0.15933219,0.106192
60,0.16717385,0.12237583,0.13583772,0.14986694
70,0.1795012,0.121930875,0.19125414,0.12906098
80,0.14384604,0.119943075,0.14690576,0.1321261
90,0.15054005,0.1354638,0.16663578,0.12215376
100,0.23134373,0.13972053,0.16949648,0.18404233
110,0.18321157,0.08834638,0.16872996,0.11436139
120,0.19553347,0.124427974,0.12411486,0.09701349
130,0.1541644,0.1262144,0.18051168,0.106164634
140,0.16529772,0.111704186,0.13544291,0.16034432
150,0.17050186,0.11234665,0.17274138,0.108946025
160,0.16352697,0.11867102,0.158483,0.13719937
170,0.16192192,0.15429321,0.14886782,0.13103464
180,0.13548753,0.13902473,0.13616249,0.11936049
190,0.17990755,0.13813037,0.20061955,0.12155588
200,0.15356466,0.11217215,0.1567519,0.1007247
210,0.1679478,0.10900371,0.17727299,0.12818053
220,0.20261483,0.14452061,0.22502437,0.14530244
230,0.1917291,0.18419361,0.24247167,0.13219514
240,0.20531744,0.10971488,0.2272963,0.18197022
250,0.26224363,0.11400124,0.24608596,0.13853896
260,0.25267598,0.11511785,0.24438885,0.12301125
270,0.24760813,0.12378307,0.2527803,0.14778934
280,0.19049212,0.14033121,0.1685887,0.123506114
290,0.16980474,0.12075004,0.1607287,0.117265634
300,0.1483567,0.11947721,0.12501049,0.15857044
310,0.14509103,0.12246272,0.13653696,0.13785201
320,0.1795495,0.13170612,0.14968441,0.10608032
330,0.2017515,0.10785147,0.20187163,0.10507546
340,0.2190814,0.104584955,0.2066392,0.14680427
350,0.2031751,0.11700292,0.25874668,0.12623365
360,0.24048837,0.13355322,0.13249013,0.124879934
370,0.19166419,0.18115154,0.2099576,0.08839697
380,0.1591042,0.10327836,0.15923376,0.11142802
390,0.21411064,0.117917456,0.19046383,0.10794319
400,0.17224711,0.120979965,0.22100131,0.1481566
410,0.15872708,0.16206396,0.16868585,0.13527448
420,0.1672999,0.1281002,0.15543379,0.1255028
430,0.18616933,0.11299456,0.17218024,0.13273045
440,0.14420627,0.11693879,0.1394786,0.14136298
