iter,task_train_loss_pre_optim,task_train_loss_post_optim,task_test_loss_pre_optim,task_test_loss_post_optim
10,0.23111987,0.06649975,0.2125403,0.04174694
20,0.16898955,0.035128936,0.17773928,0.029516866
30,0.19270974,0.040901586,0.16359916,0.03248229
40,0.12648694,0.025412384,0.14211436,0.02394317
50,0.13320278,0.0389843,0.12036014,0.028460708
60,0.12876624,0.021306753,0.12817591,0.033882864
70,0.11185698,0.02601405,0.10422606,0.029155567
80,0.117247164,0.038188517,0.11180877,0.03388205
90,0.105850995,0.030504622,0.110420555,0.027851986
100,0.124804325,0.02957886,0.111491814,0.031940892
110,0.14777151,0.030839577,0.15160188,0.035388067
120,0.13018194,0.033025533,0.13625242,0.030431222
130,0.13299575,0.026235506,0.11449398,0.04106452
140,0.14157346,0.033535648,0.1372399,0.025975723
150,0.14040609,0.039255057,0.16460189,0.025861308
160,0.18391198,0.02242291,0.18586189,0.025403626
170,0.17695536,0.024083149,0.17185801,0.028208721
180,0.16264737,0.028072046,0.17332497,0.031070655
190,0.20063381,0.016254723,0.18648845,0.024939679
200,0.19940503,0.027966022,0.18754497,0.018369624
210,0.18917248,0.032976948,0.19073737,0.024724137
220,0.20159057,0.02435698,0.1736483,0.025230598
230,0.21061462,0.033988893,0.17443733,0.032425955
240,0.19434458,0.025086915,0.16410586,0.025177578
250,0.20104146,0.030344184,0.20887227,0.02940179
260,0.17949876,0.033947915,0.18206483,0.028266635
270,0.17392331,0.025697652,0.16949809,0.030108243
280,0.18805468,0.021178542,0.1969139,0.022665542
290,0.21032688,0.027780274,0.20813918,0.02622703
300,0.22434853,0.022637269,0.21900858,0.028342407
310,0.19624794,0.027132407,0.21595475,0.028136065
320,0.19239539,0.017865688,0.1953065,0.02580284
330,0.18691368,0.029500222,0.21247703,0.029780518
340,0.21624357,0.026484028,0.22993882,0.031669304
350,0.17441401,0.024310164,0.20995535,0.024849929
360,0.19198425,0.025280435,0.20911348,0.030553086
370,0.25403923,0.027637662,0.2260795,0.026934464
380,0.22450054,0.028865723,0.20748788,0.02821218
390,0.2109969,0.020819668,0.22264719,0.020065527
400,0.20328552,0.023505399,0.20587513,0.028333127
410,0.21488741,0.025554407,0.22749992,0.02981276
420,0.221158,0.023937257,0.22339779,0.032832783
430,0.21830101,0.028464433,0.22164987,0.026167607
440,0.22941,0.02344408,0.22276737,0.026124371
450,0.22363128,0.02782011,0.25242072,0.031969532
460,0.24764486,0.023871947,0.2482744,0.027923808
470,0.24057323,0.027423177,0.21945392,0.024194382
480,0.21367893,0.029343909,0.21761657,0.025753371
490,0.22780022,0.022241564,0.20739973,0.03135435
500,0.24539657,0.025673015,0.25332344,0.021005124
510,0.22651526,0.028588682,0.23761043,0.027617613
520,0.24265297,0.021360809,0.19985726,0.03005201
530,0.23335241,0.025176078,0.25428683,0.026274603
540,0.2110169,0.028944608,0.2292969,0.026315423
550,0.21496142,0.019980365,0.21966885,0.031603806
560,0.25400826,0.032619275,0.24352524,0.030170972
570,0.23263216,0.027969524,0.27650097,0.032934353
580,0.246586,0.02775149,0.25995615,0.027353263
590,0.2591154,0.030178612,0.24791539,0.025703702
600,0.26008672,0.026024828,0.2267516,0.0243606
610,0.26123458,0.020257944,0.26288134,0.023939952
620,0.27657664,0.024098895,0.2727778,0.020875247
630,0.25773817,0.023839131,0.28088093,0.026873102
640,0.29482815,0.031156018,0.27235097,0.032193705
650,0.27372926,0.0259285,0.27335018,0.032871857
660,0.3144129,0.027757987,0.28083214,0.03258639
670,0.31267715,0.022980273,0.27356896,0.025808798
680,0.32268888,0.031113505,0.28182966,0.020491168
690,0.25972417,0.032771263,0.3216954,0.029948574
700,0.28127164,0.027923707,0.26801306,0.026935158
710,0.27813327,0.027394384,0.24692434,0.029136628
720,0.27690047,0.026868127,0.22903042,0.026004497
730,0.25944388,0.0278934,0.2536132,0.034599803
740,0.26678514,0.028619269,0.2612586,0.025855169
750,0.2462522,0.027911946,0.24007007,0.036164783
760,0.25797433,0.027777884,0.23766118,0.027085703
770,0.21060985,0.025112554,0.2211752,0.029793791
780,0.2160321,0.033408634,0.23865213,0.029703764
790,0.24001569,0.03057507,0.24213153,0.023108225
800,0.21228024,0.03215967,0.23048379,0.028322067
810,0.2704363,0.022866286,0.25194404,0.023419438
820,0.266119,0.029292282,0.27860197,0.027030157
830,0.2939683,0.021421101,0.2782002,0.02727016
840,0.2485452,0.03125622,0.26809737,0.021088276
850,0.25266635,0.02328503,0.25630713,0.031221611
860,0.2656293,0.0280072,0.23028493,0.02307924
870,0.299532,0.04173039,0.27860743,0.035057116
880,0.28617418,0.030294085,0.27354532,0.021774877
890,0.2919352,0.026938207,0.2688508,0.03248774
900,0.30011243,0.027463054,0.2929126,0.031168614
910,0.26695305,0.024473429,0.27369833,0.021739889
920,0.29997945,0.031445265,0.2602016,0.027537948
930,0.258985,0.02715973,0.24110785,0.028612323
940,0.28373766,0.027377198,0.257884,0.024957202
950,0.24815276,0.026718395,0.23271644,0.027315035
960,0.24843436,0.032673463,0.24464165,0.034351714
970,0.26844132,0.032000847,0.28262717,0.02736758
980,0.23627068,0.032333508,0.24169835,0.033472225
990,0.21215284,0.027455855,0.25054818,0.030575447
1000,0.25902522,0.026955208,0.25858748,0.027735107
1010,0.25943708,0.024971,0.21585183,0.029499406
1020,0.22336586,0.024218637,0.2150309,0.027674228
1030,0.2373228,0.031008879,0.2563244,0.036782272
1040,0.23099282,0.024248347,0.25608742,0.027381012
1050,0.25926393,0.027434459,0.24987943,0.025968144
1060,0.24451074,0.030176114,0.25008768,0.027277336
1070,0.26700386,0.026092017,0.26201636,0.029646568
1080,0.25168777,0.02445633,0.25798407,0.02697445
1090,0.23606999,0.026061252,0.27740693,0.028456047
1100,0.24716598,0.03061033,0.24248883,0.035228617
1110,0.22650531,0.031919073,0.24789374,0.028883701
1120,0.2693746,0.023898235,0.23778568,0.028784206
1130,0.2536577,0.04011082,0.24462591,0.030758971
1140,0.24625897,0.03188293,0.21887374,0.027965993
1150,0.24490356,0.022391248,0.21817346,0.017462552
1160,0.21351129,0.02743528,0.20046708,0.03471018
1170,0.17248029,0.032753237,0.20949969,0.030404788
1180,0.17082444,0.025453733,0.1655594,0.027902342
1190,0.18552047,0.02970896,0.20160455,0.024743281
1200,0.21290204,0.027998393,0.18672423,0.028193798
1210,0.20095208,0.027451403,0.19179752,0.023905484
1220,0.18406081,0.021820605,0.20012738,0.031403303
1230,0.20246273,0.034239,0.17091766,0.026518341
1240,0.20548223,0.0274021,0.17711598,0.023380453
1250,0.19517195,0.03463915,0.16618949,0.035217132
1260,0.20496798,0.025843002,0.19131124,0.02760807
1270,0.19986889,0.025211018,0.18630067,0.026889486
1280,0.217209,0.025990412,0.18164602,0.021548945
1290,0.22345251,0.02501196,0.22953986,0.021875575
1300,0.1956263,0.027187364,0.19399582,0.02315107
1310,0.18886065,0.026607133,0.22685377,0.028306764
1320,0.22659057,0.027575742,0.18191688,0.0252737
1330,0.23390248,0.030253116,0.2092821,0.021694297
1340,0.23141871,0.027862957,0.21238789,0.023681194
1350,0.17590934,0.028229104,0.17075497,0.018449966
1360,0.1841075,0.023768289,0.21305552,0.02374915
1370,0.1955829,0.029318098,0.18043503,0.027907046
1380,0.18856964,0.022208458,0.22999953,0.031154685
1390,0.21481963,0.026923385,0.20305903,0.022490207
1400,0.21576622,0.033508368,0.21983565,0.022619255
1410,0.22484115,0.029697042,0.23627274,0.024760285
1420,0.19483763,0.022646833,0.18401593,0.032924306
1430,0.24704127,0.02899017,0.17526937,0.024430305
1440,0.23624963,0.027757738,0.17557718,0.02612303
1450,0.18073459,0.030187473,0.22769472,0.023154138
1460,0.21276781,0.03209921,0.22688368,0.028763257
1470,0.21371025,0.025737356,0.22037993,0.034821104
1480,0.18374687,0.028329449,0.2263842,0.03326354
1490,0.18585634,0.022668308,0.19145453,0.032183398
1500,0.19174498,0.034281395,0.20090301,0.031785265
1510,0.18523619,0.026728444,0.16347688,0.027456662
