iter,task_train_loss_pre_optim,task_train_loss_post_optim,task_test_loss_pre_optim,task_test_loss_post_optim
10,0.2401278,0.065368965,0.17752436,0.033527516
20,0.15892342,0.030054526,0.15578921,0.028507931
30,0.15522856,0.03364176,0.15582985,0.03268763
40,0.15315376,0.029030034,0.16029221,0.030367136
50,0.16133781,0.03227152,0.1617273,0.027626645
60,0.18462268,0.02781732,0.18812609,0.025355684
70,0.2376209,0.027223827,0.24315032,0.028704401
80,0.4285628,0.029964145,0.47656167,0.028129065
90,0.4336116,0.023277005,0.43902463,0.027586916
100,0.4431516,0.02621472,0.42585173,0.029234797
110,0.44077328,0.027473032,0.41388404,0.024823299
120,0.39706796,0.02968014,0.3834899,0.02322695
130,0.41793436,0.024830736,0.40946692,0.027709344
140,0.39068273,0.024950182,0.40093052,0.026204865
150,0.3978218,0.026277823,0.4269599,0.029012837
160,0.4522451,0.026546597,0.39624837,0.02599567
170,0.41618145,0.028365402,0.3979888,0.02621016
180,0.402389,0.02660103,0.4080364,0.024664277
190,0.38827914,0.030169547,0.41236687,0.032523207
200,0.41694894,0.022703748,0.4384752,0.026944898
210,0.40006047,0.027069902,0.38665333,0.02573487
220,0.4077943,0.03048091,0.3892852,0.027591318
230,0.41713843,0.02901066,0.4116187,0.033427075
240,0.40778828,0.025326466,0.4179801,0.023217667
250,0.37328237,0.028400987,0.3952625,0.026376434
260,0.38830426,0.026322978,0.37700585,0.027200865
270,0.36408055,0.027842442,0.35342705,0.02835123
280,0.36114863,0.028128723,0.35323003,0.02834825
290,0.35824972,0.020869944,0.3454885,0.029533569
300,0.3672024,0.024815917,0.36360195,0.028025977
