iter,task_train_loss_pre_optim,task_train_loss_post_optim,task_test_loss_pre_optim,task_test_loss_post_optim
10,1.2323825,1.1230894,1.0891432,0.16736953
20,1.0663579,0.18327388,1.0882437,0.19899154
30,0.97405803,0.15934537,0.98114705,0.1547857
40,1.043071,0.1954171,1.0591413,0.15424311
50,1.1159971,0.107364945,0.9401018,0.19944568
60,1.0033653,0.15062115,0.97673535,0.14791992
70,0.97622573,0.15373427,1.0195866,0.16018355
80,1.0697973,0.19975467,1.0746205,0.23276743
90,1.0356658,0.121242225,0.92795813,0.10514013
100,0.9477303,0.16272387,0.96758103,0.10992506
110,0.9508996,0.1411413,0.98118275,0.13953614
120,0.9568347,0.14073005,0.9304829,0.12282528
130,0.9489389,0.13754374,0.9865678,0.15424182
140,1.0154269,0.123172656,0.9007238,0.17613894
150,0.8998091,0.33334374,1.0023236,0.22059833
160,0.7965294,0.11920977,0.99119294,0.14554667
170,0.93041337,0.110769,0.78648293,0.16592678
180,0.8770751,0.13409527,0.9319585,0.10661776
190,0.9478183,0.13452107,0.88688564,0.19369608
200,0.90527546,0.15345979,0.8456417,0.15793501
210,0.8031248,0.13328084,0.86763144,0.14215454
220,0.771547,0.19039491,0.82733995,0.16657557
230,0.759655,0.1942139,0.73359555,0.15482554
240,0.72325665,0.1458197,0.75188947,0.14677139
250,0.7220502,0.12634723,0.7622405,0.15344027
260,0.5445237,0.11648245,0.62118757,0.15121764
270,0.68486035,0.19269092,0.6196459,0.17199771
280,0.57263094,0.13728268,0.64070207,0.14531413
290,0.58711433,0.16431051,0.60958767,0.17524543
300,0.5332941,0.15684688,0.6220776,0.24206221
310,0.51740754,0.14832655,0.5352048,0.15322348
320,0.56465256,0.1561301,0.6007893,0.1846542
330,0.45446038,0.15878676,0.5138917,0.14516744
340,0.54419804,0.18213283,0.47378168,0.121675
350,0.524462,0.12616876,0.45166078,0.10839178
360,0.35570157,0.1500489,0.4324765,0.18766558
370,0.45295447,0.13510188,0.3497337,0.10475499
380,0.35283557,0.21615264,0.40580335,0.1430081
390,0.54537946,0.17498085,0.4344911,0.17696299
400,0.40553772,0.14220735,0.3733642,0.13873473
410,0.37790465,0.15991157,0.26592368,0.137811
420,0.39501053,0.17881018,0.40537068,0.14442891
430,0.2984236,0.19138588,0.32507777,0.11002773
440,0.30493036,0.15079919,0.30405188,0.13013065
450,0.38109165,0.12982036,0.32650176,0.14263704
460,0.3821807,0.16582054,0.3182938,0.14622317
