iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.18125,0.19375,0.2375,0.2125
20,0.17500001,0.275,0.112500004,0.2
30,0.2,0.2375,0.17500001,0.1875
40,0.3,0.2125,0.225,0.2375
50,0.22500001,0.25,0.22500001,0.2125
60,0.225,0.2,0.225,0.225
70,0.2,0.28750002,0.2,0.25
80,0.25,0.23750001,0.1875,0.275
90,0.2125,0.3,0.1875,0.275
100,0.2125,0.3375,0.2,0.3875
110,0.175,0.2625,0.2125,0.28750002
120,0.23750001,0.41250002,0.1625,0.3125
130,0.275,0.375,0.2,0.28750002
140,0.2,0.3875,0.1625,0.3375
150,0.2375,0.425,0.20000002,0.35000002
160,0.2375,0.35,0.16250001,0.275
170,0.20000002,0.28750002,0.2125,0.28750002
180,0.17500001,0.425,0.1875,0.2625
190,0.2625,0.3375,0.112500004,0.3375
200,0.2125,0.4,0.2125,0.35000002
210,0.3125,0.41250002,0.2125,0.35000002
220,0.2,0.3125,0.1625,0.35000002
230,0.1625,0.3625,0.1875,0.4
240,0.1125,0.32500002,0.15,0.41250002
250,0.225,0.3875,0.15,0.4
260,0.3125,0.45000002,0.1625,0.425
270,0.2,0.3625,0.15,0.46249998
280,0.3,0.45,0.1875,0.41250002
290,0.16250001,0.46249998,0.1375,0.41250002
300,0.225,0.41250002,0.1875,0.45
310,0.1875,0.41250002,0.15,0.4375
320,0.22500001,0.47500002,0.19999999,0.42499998
330,0.3,0.475,0.2125,0.4625
340,0.225,0.45,0.1375,0.45
350,0.3125,0.6,0.2125,0.51250005
360,0.15,0.45000002,0.1625,0.4375
370,0.26250002,0.5625,0.2,0.5375
380,0.1625,0.425,0.1875,0.46249998
390,0.25,0.475,0.1875,0.5375
400,0.25,0.5,0.17500001,0.48749998
410,0.225,0.51250005,0.087500006,0.46249998
420,0.1625,0.51250005,0.2,0.52500004
430,0.23750001,0.5625,0.175,0.5
440,0.22500001,0.58750004,0.1125,0.5375
450,0.3,0.525,0.2,0.5125
460,0.2625,0.5375,0.1,0.55
470,0.2625,0.625,0.1875,0.5125
480,0.2625,0.525,0.17500001,0.5625
490,0.25,0.57500005,0.2,0.51250005
500,0.1875,0.625,0.1375,0.48749998
510,0.1875,0.5625,0.1875,0.57500005
520,0.23750001,0.625,0.2625,0.6125001
530,0.17500001,0.5,0.2,0.5625
540,0.23750001,0.6,0.1625,0.625
550,0.275,0.48749998,0.1375,0.5875
560,0.23750001,0.6,0.1625,0.55
570,0.2125,0.58750004,0.17500001,0.5625
580,0.20000002,0.625,0.1125,0.63750005
590,0.23750001,0.625,0.1875,0.675
600,0.112500004,0.6125,0.1875,0.57500005
610,0.2125,0.6625,0.25,0.5875
620,0.2125,0.6125,0.2375,0.6125001
630,0.23750001,0.6,0.25,0.6625
640,0.15,0.6,0.2125,0.55
650,0.17500001,0.57500005,0.1875,0.525
660,0.22500001,0.65,0.26250002,0.6
670,0.17500001,0.6875,0.15,0.65000004
680,0.2,0.6625,0.25,0.65000004
690,0.2,0.675,0.1625,0.70000005
700,0.1875,0.6875,0.22500001,0.625
710,0.28750002,0.625,0.3125,0.63750005
720,0.26250002,0.70000005,0.225,0.6125001
730,0.2625,0.54999995,0.17500001,0.65
740,0.2125,0.6125,0.1375,0.71250004
750,0.15,0.6125,0.1875,0.5875
760,0.225,0.65000004,0.125,0.6625
770,0.2625,0.675,0.275,0.63750005
780,0.25,0.6375,0.225,0.63750005
790,0.2625,0.7,0.17500001,0.65
800,0.2125,0.6625,0.17500001,0.75
810,0.1375,0.75,0.22500001,0.6750001
820,0.17500001,0.6625,0.125,0.625
830,0.2125,0.65,0.1875,0.7125
840,0.3,0.6750001,0.1625,0.67499995
850,0.33750004,0.6625,0.2125,0.625
860,0.1875,0.6125001,0.2,0.625
870,0.275,0.6625,0.2875,0.7125
