iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.22500001,0.2125,0.2125,0.2125
20,0.125,0.17500001,0.1875,0.2625
30,0.1875,0.1875,0.2125,0.2125
40,0.1875,0.2,0.1875,0.225
50,0.225,0.175,0.2,0.15
60,0.2,0.2,0.2125,0.1875
70,0.1625,0.2,0.17500001,0.2125
80,0.1875,0.1125,0.2125,0.1875
90,0.1625,0.1375,0.16250001,0.25
100,0.2,0.175,0.26250002,0.15
110,0.23750001,0.15,0.2125,0.17500001
120,0.2125,0.1875,0.2125,0.2
130,0.2375,0.175,0.1875,0.22500001
140,0.2,0.1875,0.25,0.2
150,0.2125,0.2,0.16250001,0.17500001
160,0.225,0.2125,0.2,0.17500001
170,0.15,0.2125,0.3,0.1875
180,0.25,0.225,0.15,0.2
190,0.2,0.2625,0.17500001,0.1625
200,0.225,0.25,0.1875,0.15
210,0.2,0.2,0.2125,0.2375
220,0.2625,0.2125,0.23750001,0.23750001
230,0.2125,0.2,0.2,0.2
240,0.1875,0.2125,0.225,0.2
250,0.2125,0.16250001,0.1875,0.23750001
260,0.2,0.275,0.2375,0.2125
270,0.25,0.2125,0.2125,0.2
280,0.2125,0.19999999,0.2125,0.1875
290,0.2,0.2,0.2,0.2
300,0.2,0.2,0.1875,0.16250001
310,0.1875,0.2,0.2125,0.2375
320,0.225,0.2375,0.23750001,0.2
330,0.15,0.1625,0.15,0.2125
340,0.225,0.2125,0.2,0.2
350,0.23750001,0.26250002,0.1875,0.17500001
360,0.2,0.1875,0.1875,0.1875
370,0.1375,0.112500004,0.2375,0.1875
380,0.2125,0.1875,0.2,0.2
390,0.23750001,0.2625,0.15,0.2
400,0.17500001,0.17500001,0.2,0.17500001
410,0.2,0.2125,0.2125,0.2125
420,0.2,0.1875,0.2,0.2
430,0.2,0.2,0.2,0.2
440,0.2,0.2,0.2,0.2
450,0.2,0.2,0.2,0.2
460,0.2,0.2,0.2,0.2
470,0.2,0.2,0.2,0.2
480,0.2375,0.20000002,0.2375,0.1875
490,0.1875,0.275,0.15,0.225
500,0.1875,0.1875,0.17500001,0.2
510,0.2,0.2125,0.1875,0.15
520,0.16250001,0.2125,0.23750001,0.23750001
530,0.2375,0.2125,0.23750001,0.225
540,0.23750001,0.225,0.25,0.25
550,0.125,0.1875,0.17500001,0.1875
560,0.16250001,0.2125,0.1875,0.23750001
570,0.17500001,0.2,0.2,0.17500001
580,0.2,0.2125,0.23750001,0.25
590,0.2125,0.175,0.1875,0.25
600,0.2125,0.25,0.3,0.2
610,0.1875,0.1875,0.20000002,0.23750001
620,0.1875,0.2125,0.1875,0.175
630,0.17500001,0.2125,0.1875,0.225
640,0.1875,0.1875,0.22500001,0.1625
650,0.2125,0.16250001,0.2625,0.2
660,0.1375,0.1875,0.275,0.23750001
670,0.2125,0.1875,0.1875,0.26250002
680,0.1875,0.225,0.1875,0.2125
690,0.16250001,0.22500001,0.2625,0.23750001
700,0.15,0.2125,0.15,0.16250001
710,0.1,0.1875,0.15,0.1875
720,0.20000002,0.2125,0.19999999,0.15
730,0.2125,0.1875,0.2125,0.25
740,0.225,0.2,0.23750001,0.1875
750,0.1625,0.19999999,0.2125,0.22500001
760,0.2125,0.2,0.1375,0.17500001
770,0.28750002,0.1625,0.1375,0.2
780,0.1875,0.1875,0.1375,0.1625
790,0.23750001,0.2625,0.1875,0.17500001
800,0.1875,0.2,0.16250001,0.1625
810,0.2,0.2,0.2,0.2125
820,0.1625,0.2125,0.1875,0.17500001
830,0.25,0.22500001,0.2125,0.2125
840,0.2,0.16250001,0.275,0.2
850,0.26250002,0.1375,0.16250001,0.075
860,0.1875,0.2,0.1875,0.1375
870,0.2,0.2125,0.1875,0.125
880,0.225,0.1375,0.23750001,0.1875
890,0.2,0.125,0.15,0.22500001
900,0.2125,0.225,0.1875,0.15
910,0.1625,0.125,0.125,0.1375
920,0.1875,0.2,0.19999999,0.25
930,0.22500001,0.225,0.2,0.2125
940,0.2,0.225,0.15,0.1625
950,0.17500001,0.225,0.1875,0.1875
960,0.2125,0.25,0.1875,0.1875
970,0.26250002,0.225,0.1375,0.125
980,0.2125,0.2,0.1875,0.225
990,0.1875,0.2,0.17500001,0.15
1000,0.275,0.20000002,0.2125,0.2
1010,0.23750001,0.17500001,0.2,0.17500001
1020,0.1875,0.2,0.1875,0.2625
1030,0.2375,0.1875,0.2125,0.2125
1040,0.17500001,0.22500001,0.225,0.225
1050,0.1875,0.225,0.15,0.17500001
1060,0.225,0.25,0.22500001,0.2375
1070,0.1875,0.2,0.15,0.15
1080,0.16250001,0.1875,0.16250001,0.2125
1090,0.17500001,0.1625,0.2,0.2
1100,0.2125,0.2125,0.2,0.2125
1110,0.225,0.17500001,0.2,0.1125
1120,0.275,0.15,0.225,0.17500001
1130,0.17500001,0.16250001,0.23750001,0.175
1140,0.17500001,0.225,0.2625,0.25
1150,0.1875,0.17500001,0.17500001,0.2
1160,0.225,0.225,0.17500001,0.1875
1170,0.1875,0.2125,0.2125,0.2
1180,0.2,0.2,0.2,0.2
1190,0.2,0.2,0.2,0.2
1200,0.2,0.2,0.2,0.2
1210,0.2,0.2,0.2,0.2
1220,0.2,0.2,0.2,0.2
1230,0.2,0.2,0.2,0.2
1240,0.2,0.2,0.2,0.2
1250,0.2,0.2,0.2,0.2
1260,0.2,0.2,0.2,0.2
1270,0.225,0.1625,0.1625,0.1875
1280,0.23750001,0.2375,0.15,0.17500001
