iter,task_train_loss_pre_optim,task_train_loss_post_optim,task_test_loss_pre_optim,task_test_loss_post_optim
10,1.2760316,1.410809,1.1600766,0.20163567
20,1.2240396,0.21041185,1.2329903,0.20027462
30,1.2071705,0.23597428,1.3607395,0.25863987
40,1.1733289,0.2278088,1.1323848,0.14587529
50,1.1283238,0.17225233,1.2009351,0.1257326
60,1.199367,0.19516405,1.0900028,0.17447665
70,1.1255949,0.21176413,1.1646461,0.13033599
80,1.0925058,0.1621117,1.158045,0.1544639
90,1.155534,0.20427051,1.2198843,0.22590874
100,1.116993,0.15681916,1.0787121,0.16100773
110,1.0651553,0.21639591,1.180684,0.23642778
120,1.1752603,0.20537123,1.0811145,0.15237224
130,1.1064816,0.13905704,1.0546385,0.2120746
140,1.0652628,0.19223465,0.94608015,0.14475486
150,1.1253948,0.17247471,1.2032454,0.2555154
160,0.95662653,0.1713202,1.0183096,0.15089633
170,0.9282434,0.15855372,0.99310213,0.13808526
180,0.9000429,0.13468355,1.0579063,0.19906673
190,1.0456045,0.16164798,0.8722953,0.14354077
200,1.0191045,0.2373986,1.0122739,0.19771817
210,0.95076394,0.19749796,0.9626866,0.16530332
220,0.9583314,0.16928914,1.0016396,0.16769935
230,0.90865874,0.18541531,0.9213217,0.19115151
240,0.87189794,0.13960864,1.0037304,0.19806023
250,0.98376757,0.21840288,0.960633,0.14939716
260,0.91934955,0.19089374,0.88042206,0.15038648
270,0.8603604,0.15242445,0.90473485,0.20791858
280,0.8702798,0.13526917,0.83712137,0.16256556
290,0.7892425,0.14750756,0.7559539,0.14820254
300,0.8693374,0.17350103,0.8311593,0.13485032
310,0.7672608,0.18710652,0.7258954,0.12930217
320,0.8487246,0.17369977,0.76997125,0.17666306
330,0.86782336,0.16691747,0.79889023,0.14920944
340,0.88519245,0.19915318,0.82956225,0.20191959
350,0.82455873,0.17960367,0.8083359,0.14601672
360,0.7911196,0.11122301,0.76049167,0.1346802
370,0.8635653,0.17534855,0.6717551,0.17740972
380,0.74307597,0.15451245,0.7274692,0.21949904
390,0.763934,0.14252234,0.7434924,0.16279909
400,0.7363657,0.11549425,0.79380107,0.21103784
410,0.7784654,0.13276349,0.75067616,0.2049903
420,0.6817897,0.17983039,0.8246089,0.18864903
430,0.7658846,0.1654712,0.7116885,0.16064756
440,0.7516799,0.1446693,0.8013568,0.16566542
450,0.77561677,0.19042958,0.65707445,0.11000321
460,0.61878145,0.1616157,0.5719013,0.14517602
470,0.62676144,0.14544097,0.70082706,0.13462065
480,0.7682703,0.14996295,0.720621,0.15548225
490,0.6123079,0.19222218,0.5946517,0.20643096
500,0.6233959,0.14098859,0.61426115,0.13431197
510,0.6001933,0.13950622,0.5672294,0.16500613
520,0.5800811,0.12932229,0.62345505,0.1356701
530,0.69086933,0.1793972,0.80525243,0.26917356
540,0.7438153,0.17444456,0.68419373,0.15641278
550,0.7487137,0.16718735,0.57166755,0.16653381
560,0.62064683,0.19061232,0.5810138,0.121539876
570,0.52067447,0.12302531,0.5974491,0.17220296
580,0.5960649,0.14843446,0.59276366,0.15092297
590,0.6557064,0.1328341,0.6302302,0.14789888
600,0.46038395,0.15814528,0.4576666,0.15728289
610,0.57326263,0.14184272,0.6062695,0.16623554
620,0.5529984,0.15760164,0.544801,0.15140697
630,0.56367886,0.13970134,0.5889606,0.17839736
640,0.5576246,0.16240011,0.6487876,0.17449957
650,0.54690486,0.17654587,0.46365646,0.21330117
660,0.5004941,0.112117924,0.45531148,0.1260542
670,0.4893457,0.113625616,0.6412554,0.13564152
680,0.5148338,0.16663851,0.4611627,0.17380747
690,0.58104134,0.1911284,0.44808543,0.1728323
700,0.5038433,0.13925081,0.45822942,0.20224273
710,0.5053346,0.13218585,0.5429536,0.12759525
720,0.593303,0.19120467,0.5895065,0.17970681
730,0.5281433,0.14023946,0.55061173,0.12499537
740,0.5415174,0.17097059,0.5409148,0.1836483
750,0.5035733,0.1358498,0.48839793,0.13695355
760,0.6192112,0.22079435,0.5531778,0.19379795
770,0.5196002,0.16937041,0.50349474,0.21543567
780,0.50641084,0.15198833,0.4801946,0.15472853
790,0.4957559,0.14569683,0.44256568,0.13570032
800,0.41360867,0.13638893,0.44314337,0.12670346
810,0.52712333,0.16149865,0.43390226,0.15055066
820,0.44358933,0.14532226,0.50585693,0.11884289
830,0.44197702,0.22497848,0.5154059,0.14802535
840,0.4770704,0.19214064,0.39474875,0.15278387
850,0.46378106,0.1068131,0.45957756,0.22014707
860,0.52127105,0.14721018,0.46361715,0.18231253
870,0.46832237,0.14616027,0.46467885,0.13416907
880,0.51434135,0.19326863,0.39453542,0.11801812
890,0.39031538,0.17379978,0.438657,0.13558155
900,0.35100138,0.10002924,0.38558477,0.17854905
910,0.45270064,0.16009647,0.4187636,0.17016086
920,0.42097443,0.17579657,0.42887706,0.11339198
930,0.40516067,0.12782326,0.3620156,0.13951172
940,0.44942626,0.10930574,0.30343366,0.10700686
950,0.42924014,0.20114599,0.37755668,0.118300326
