iter,task_train_loss_pre_optim,task_train_loss_post_optim,task_test_loss_pre_optim,task_test_loss_post_optim
10,0.820346,0.45878163,0.38850653,0.12552278
20,0.3710972,0.14357157,0.32445428,0.09489568
30,0.1655803,0.13696504,0.12755,0.16269282
40,0.13997197,0.12829058,0.13682555,0.11277273
50,0.14271608,0.12075175,0.1264798,0.12921251
60,0.16943076,0.1340003,0.19154666,0.11407962
70,0.20447499,0.14316931,0.1792057,0.15108526
80,0.18682542,0.13562343,0.15015745,0.1141555
90,0.120569974,0.11116202,0.13489278,0.14241204
100,0.13221252,0.14013477,0.15532333,0.10284748
110,0.13716644,0.15095085,0.17142564,0.1465802
120,0.1466364,0.15024665,0.19705108,0.09721549
130,0.18316853,0.13403004,0.12652206,0.12715034
140,0.14932707,0.14033908,0.1461605,0.11893852
150,0.14626586,0.107624054,0.11931369,0.14253154
160,0.115528375,0.1499485,0.15226029,0.11881216
170,0.14184102,0.09507644,0.12719887,0.13476819
180,0.12783809,0.13374485,0.10916716,0.12944767
190,0.1464144,0.104518205,0.15218046,0.1386205
200,0.12748069,0.1166472,0.13311863,0.13892117
210,0.10156077,0.13405237,0.15366504,0.11268465
220,0.17897409,0.11935217,0.13971166,0.12970373
230,0.1499137,0.13271435,0.116497196,0.11924543
240,0.14693302,0.11572595,0.12636411,0.12718256
250,0.12540342,0.13779521,0.11098896,0.12527725
260,0.14357013,0.13893324,0.118370384,0.12506676
270,0.14933671,0.12002842,0.1782996,0.16384527
280,0.12792449,0.13829173,0.13452637,0.13097641
290,0.19749992,0.12744123,0.14750057,0.11811119
300,0.15169317,0.15396407,0.13650604,0.11846223
310,0.14695913,0.12968628,0.14409271,0.10315324
320,0.13526613,0.12114142,0.1449554,0.12138541
330,0.1684835,0.10901722,0.1626392,0.15253007
340,0.13972983,0.13822298,0.19311573,0.13546734
350,0.13601768,0.16488779,0.11682921,0.12148973
360,0.16063541,0.15997991,0.14969346,0.14173634
370,0.17401427,0.123781666,0.15807776,0.10453986
380,0.13398367,0.12540704,0.112841085,0.10281029
390,0.14951718,0.1199297,0.12598224,0.15165842
400,0.12411593,0.14664611,0.10393279,0.13220325
410,0.14911577,0.13172103,0.12608635,0.12947053
420,0.13303728,0.12844607,0.11569122,0.13618347
430,0.10998875,0.121584214,0.13444513,0.11376165
440,0.11357026,0.11559507,0.14968167,0.12216194
450,0.096461795,0.13253699,0.12713054,0.11564442
460,0.11765795,0.09462449,0.1298553,0.12771305
470,0.13979661,0.16042039,0.1337325,0.1012001
480,0.10216099,0.1445517,0.120411366,0.0914446
490,0.13341407,0.104335904,0.11868217,0.109805554
500,0.12006034,0.09825902,0.13106105,0.14183044
510,0.13685127,0.12004315,0.14518759,0.15887907
520,0.13723055,0.11833578,0.115619406,0.14096054
530,0.13005231,0.117709994,0.147163,0.11101058
540,0.10443017,0.10676192,0.11107354,0.1398246
550,0.13122152,0.1071261,0.17323714,0.14328995
560,0.11932932,0.15370888,0.1322416,0.094703436
570,0.12201002,0.14582568,0.13492464,0.13155091
580,0.09823568,0.12509254,0.12621461,0.15445092
590,0.11192609,0.14024332,0.12087942,0.09954345
600,0.1049875,0.13321465,0.14399838,0.14355505
610,0.12606765,0.104855314,0.13216148,0.093322314
620,0.11794402,0.12836811,0.08626009,0.1359435
630,0.09503894,0.09366809,0.09563345,0.17866412
640,0.15849955,0.09702028,0.12955022,0.11412376
650,0.10726023,0.12705839,0.12415601,0.1366448
660,0.12156402,0.13639511,0.15425076,0.12089735
670,0.12770408,0.12624407,0.17281546,0.12423944
680,0.13134143,0.11123871,0.11633341,0.15285425
690,0.08919545,0.09633551,0.12417827,0.15619001
700,0.104151726,0.117330894,0.09869472,0.15156445
710,0.13898283,0.112921886,0.13246676,0.12222799
720,0.13044348,0.11906376,0.13601106,0.07389256
730,0.13723293,0.11380616,0.13362756,0.13177678
740,0.1481,0.10251702,0.13250706,0.13471892
750,0.15440382,0.10963492,0.15061328,0.15339822
760,0.13152912,0.1165051,0.12364212,0.12206342
770,0.13614117,0.118831456,0.10309787,0.15266393
780,0.11010373,0.13966966,0.14243971,0.14672372
790,0.13638975,0.104153775,0.121692054,0.13585785
800,0.114284635,0.13867581,0.14039096,0.11114521
810,0.10154795,0.13410118,0.12122561,0.1407882
820,0.13054292,0.107165426,0.11743015,0.12829256
830,0.16235925,0.12297,0.15537137,0.13811053
840,0.11016747,0.12813683,0.11771184,0.1223899
850,0.09269603,0.12554164,0.13613006,0.12817298
860,0.12293208,0.115527734,0.103601485,0.11168532
870,0.13207786,0.11565862,0.13204885,0.11190254
880,0.14727576,0.11547536,0.14193991,0.14033386
890,0.115652904,0.13510817,0.15307997,0.12994675
900,0.131453,0.11000027,0.08424653,0.14653012
910,0.10591291,0.12947904,0.14041275,0.14382511
920,0.101010546,0.11861624,0.13741712,0.12587833
930,0.10939295,0.16747865,0.1305202,0.096429996
940,0.11847529,0.12711976,0.13577715,0.12617815
950,0.14274865,0.1448005,0.12352578,0.12449695
960,0.10257061,0.13976835,0.15098429,0.13178295
970,0.12462682,0.079909176,0.12877855,0.11491732
980,0.11474928,0.11466655,0.12553431,0.13733114
990,0.06970442,0.13848224,0.12575406,0.13463448
1000,0.12621982,0.095420346,0.13194463,0.14132348
1010,0.12290104,0.09132806,0.12598582,0.104139775
1020,0.12995511,0.114603795,0.10254691,0.13479657
1030,0.119651005,0.11994756,0.14351693,0.12500975
1040,0.12419921,0.089058034,0.11416273,0.1470454
1050,0.105364785,0.14726281,0.12848832,0.109296285
1060,0.16003901,0.11326155,0.096535,0.129159
1070,0.12446029,0.10914001,0.13324922,0.13023844
1080,0.1314972,0.13772322,0.09369016,0.15748294
1090,0.096255235,0.1265875,0.09437135,0.11437827
1100,0.12532938,0.13409726,0.13322417,0.116613545
1110,0.14313152,0.12454844,0.13254483,0.12452976
1120,0.12275256,0.12956506,0.14370966,0.13186194
1130,0.123223476,0.12185614,0.13789102,0.12483352
1140,0.14645496,0.12096679,0.10250725,0.110630274
1150,0.12021691,0.098838866,0.12282044,0.089392856
1160,0.13639516,0.11771494,0.11239205,0.13060012
1170,0.1189839,0.110438325,0.1399233,0.10401232
1180,0.120691754,0.15363711,0.11868769,0.12205603
1190,0.116768524,0.12023263,0.13931772,0.1317028
1200,0.1382798,0.123248756,0.12843284,0.122749835
1210,0.11976165,0.14033976,0.12161165,0.11796738
1220,0.11154042,0.12975824,0.115517296,0.13445568
1230,0.13560724,0.1358492,0.12175179,0.14637935
1240,0.105235934,0.13370687,0.10214155,0.12943675
1250,0.12216269,0.12776533,0.12587734,0.12368147
1260,0.13534245,0.11358285,0.14979482,0.15485772
1270,0.1269044,0.14110525,0.13984115,0.11591296
1280,0.11027134,0.11452003,0.15683374,0.11857256
1290,0.13844115,0.109596886,0.12066932,0.0974371
1300,0.11158795,0.13280667,0.11852041,0.11002368
1310,0.10875582,0.13158047,0.11350012,0.09777244
1320,0.13256563,0.12043038,0.13311258,0.13415915
1330,0.12954302,0.09952285,0.10931755,0.12632822
1340,0.13289502,0.15192644,0.10080344,0.11884828
1350,0.13220818,0.11130696,0.120208435,0.108315185
1360,0.11256711,0.09282035,0.08821209,0.1385279
1370,0.12804869,0.13242176,0.087968215,0.11754276
1380,0.12804154,0.109106936,0.12466923,0.12612233
1390,0.13962483,0.15217474,0.12862308,0.11003199
1400,0.117397904,0.10363603,0.111997515,0.0826711
1410,0.094165966,0.12286801,0.124899864,0.10865663
1420,0.12278077,0.11349976,0.10888983,0.122282736
1430,0.100791305,0.17274202,0.1267122,0.14265381
1440,0.114999965,0.12759528,0.15008315,0.16195205
1450,0.11468328,0.13033445,0.12329968,0.08941278
1460,0.14539705,0.096050896,0.12640072,0.13143554
1470,0.11812524,0.117469616,0.1213152,0.13389386
1480,0.11072649,0.106040455,0.145562,0.07871221
1490,0.13513282,0.14495829,0.09705186,0.123211116
1500,0.0988822,0.111650124,0.115074426,0.16647896
1510,0.13283154,0.13322523,0.14742538,0.12524846
1520,0.12939571,0.11344178,0.14362448,0.11740567
1530,0.13370413,0.08843705,0.14718571,0.1354936
1540,0.11253499,0.15716395,0.1008289,0.1203312
1550,0.11891954,0.13060248,0.11493259,0.12139097
1560,0.12592632,0.11008969,0.13803887,0.12756321
1570,0.13913408,0.123165146,0.105267055,0.09777622
1580,0.15118489,0.14631777,0.15112479,0.13187173
1590,0.117198184,0.13458276,0.1353721,0.12849194
1600,0.13208543,0.14034387,0.11827831,0.15060343
1610,0.13824576,0.113749996,0.13231409,0.113674566
1620,0.12277121,0.10384662,0.11245173,0.10703802
1630,0.17744534,0.084278256,0.13038816,0.10809554
1640,0.1078089,0.14409915,0.14545774,0.11845265
1650,0.1314772,0.14894995,0.12202984,0.13044581
1660,0.10319365,0.107301205,0.13519356,0.1611898
1670,0.17061204,0.12607661,0.121023044,0.12412138
1680,0.12901953,0.10375846,0.10576497,0.09248747
1690,0.13859294,0.1409966,0.1411781,0.11412971
1700,0.123078234,0.12168774,0.15131687,0.10943586
1710,0.1687266,0.1102,0.123364374,0.11332755
1720,0.12704796,0.12057516,0.10201767,0.1366014
1730,0.1332026,0.12889326,0.1604166,0.15696655
1740,0.11572453,0.13596055,0.13337564,0.15828905
1750,0.10875133,0.13257748,0.13689102,0.10473053
1760,0.10256773,0.10037613,0.13295215,0.108051166
1770,0.10512056,0.11038783,0.13837114,0.14651796
1780,0.11729025,0.15103427,0.14985505,0.12419847
1790,0.12007343,0.10888989,0.15119421,0.11269297
1800,0.09704307,0.098278105,0.110477716,0.13005204
1810,0.11625745,0.17316376,0.09810774,0.11490686
1820,0.14494559,0.10594511,0.1331858,0.14274363
1830,0.13179897,0.12290938,0.116180204,0.121797875
1840,0.11837146,0.11452606,0.118382685,0.13868168
1850,0.13204584,0.118125305,0.12218774,0.11534799
1860,0.14241394,0.17984098,0.13542221,0.11325831
1870,0.12825444,0.12739792,0.13900444,0.0975692
1880,0.09051582,0.100911364,0.10976942,0.12122366
1890,0.11143215,0.1436525,0.12900946,0.13112319
1900,0.12662905,0.13201693,0.12086083,0.14784607
1910,0.12858385,0.12847531,0.16121554,0.122348204
1920,0.1427337,0.13648647,0.11352043,0.113412365
1930,0.11308882,0.12844183,0.120010465,0.13959563
1940,0.12047081,0.10897499,0.079962574,0.13500756
1950,0.14039132,0.1318794,0.100416645,0.12722252
1960,0.12494461,0.13452064,0.15325674,0.13743463
1970,0.13210514,0.13482934,0.14192522,0.13403973
1980,0.12281253,0.13085108,0.1367262,0.10150735
1990,0.15737097,0.120052144,0.13442877,0.13337055
2000,0.10598333,0.11561102,0.12063664,0.12310628
2010,0.11682337,0.110830866,0.14233997,0.11511029
2020,0.15309702,0.13981952,0.14190798,0.11101717
2030,0.12443073,0.11803535,0.12060995,0.13661799
2040,0.14178136,0.1250748,0.13133411,0.13537283
2050,0.1250975,0.12455095,0.10707112,0.11760103
2060,0.10881367,0.11703837,0.14162429,0.13633372
2070,0.11808795,0.14665675,0.10338927,0.12042393
2080,0.09665227,0.12712468,0.12058361,0.11452768
2090,0.10158805,0.13591306,0.11331354,0.1325832
2100,0.12506366,0.106237456,0.12980714,0.13315956
2110,0.122581005,0.12814379,0.12953165,0.12818542
2120,0.1494995,0.12080379,0.09775834,0.11504193
2130,0.13225941,0.11000741,0.1112456,0.10563655
2140,0.08871932,0.14493932,0.12425787,0.14732096
2150,0.090221055,0.114868686,0.15525858,0.1436876
2160,0.12629087,0.11778558,0.14495558,0.1422252
2170,0.14085208,0.12408178,0.1252651,0.123858735
2180,0.13082506,0.125979,0.13875806,0.11052599
2190,0.15640934,0.12255983,0.13516878,0.11096084
2200,0.13267624,0.114723794,0.1268568,0.10885503
2210,0.11526185,0.14584509,0.13098378,0.14277394
2220,0.089900985,0.11113651,0.16604948,0.112306535
2230,0.12560464,0.12628135,0.09834226,0.12369825
2240,0.12806326,0.14359966,0.101585776,0.13268164
2250,0.12978934,0.10987904,0.10496035,0.15953587
2260,0.1275482,0.11273864,0.12829399,0.11980953
2270,0.14038995,0.13832329,0.117660515,0.13527888
2280,0.14287795,0.1473563,0.14512174,0.08938089
2290,0.12949911,0.11934142,0.12104396,0.13520715
2300,0.1084806,0.09846074,0.113398455,0.13368727
2310,0.14380464,0.13016966,0.1152053,0.17317295
2320,0.14246723,0.11867525,0.10584687,0.11421861
2330,0.117358506,0.11940242,0.12876521,0.14727587
2340,0.11605912,0.14343064,0.110041365,0.12898886
2350,0.116898336,0.13252455,0.098076,0.15240738
2360,0.120196916,0.14032236,0.11066795,0.1147531
2370,0.09970842,0.09426741,0.13303463,0.14164239
2380,0.08563784,0.11147037,0.115803845,0.14549306
2390,0.12420812,0.11327498,0.119135484,0.11238534
2400,0.11102548,0.1114171,0.0960037,0.13524175
2410,0.118349746,0.116353676,0.10012897,0.11703942
2420,0.092585996,0.12469788,0.12948537,0.121207714
2430,0.12012792,0.13679603,0.12337203,0.121033885
2440,0.13498563,0.12780383,0.11614677,0.12051707
2450,0.09949955,0.14721641,0.11570965,0.12923115
2460,0.13870934,0.118888915,0.14004344,0.09372559
2470,0.15183203,0.14689383,0.11375246,0.11893256
2480,0.13224728,0.1374892,0.122750364,0.10011858
2490,0.12720954,0.10102637,0.13732235,0.11804187
2500,0.103071555,0.12476005,0.12590185,0.1187001
2510,0.14327781,0.104701996,0.10698514,0.15455484
2520,0.14558743,0.1351547,0.12739465,0.13579598
2530,0.14080384,0.11435255,0.10684097,0.12767452
2540,0.14334902,0.11015217,0.114878446,0.11728682
2550,0.15308666,0.104816884,0.12704533,0.13931882
2560,0.1322718,0.09525565,0.12689717,0.1663208
2570,0.10812834,0.11355079,0.14432989,0.13387199
2580,0.11906269,0.15178524,0.09936926,0.14017129
2590,0.10703733,0.11503306,0.14463215,0.13104546
2600,0.16729437,0.09563994,0.090579644,0.13662222
2610,0.13651437,0.09734266,0.1175741,0.12365879
2620,0.12518165,0.12631157,0.13417819,0.12865661
2630,0.1330644,0.12927213,0.1178498,0.1188007
2640,0.15815762,0.15309063,0.14685327,0.12999696
2650,0.11204276,0.118563935,0.09554723,0.13324681
2660,0.12617773,0.12644254,0.11324375,0.13597775
2670,0.13327426,0.14728943,0.13219856,0.14176045
2680,0.164157,0.10823214,0.11883415,0.1166528
2690,0.094455644,0.12002824,0.14314362,0.13770579
2700,0.1110127,0.124766976,0.13543004,0.15160033
2710,0.101672605,0.11391747,0.12958258,0.12801002
2720,0.13379444,0.120671876,0.12365967,0.11142713
2730,0.13839929,0.13365565,0.12001978,0.13679023
2740,0.104510315,0.13547221,0.12073903,0.1062695
2750,0.11966685,0.13427778,0.13267113,0.120209135
2760,0.13302417,0.10947874,0.1310255,0.14548364
2770,0.12590382,0.15969817,0.1408141,0.14532745
2780,0.1431279,0.13432321,0.12939431,0.108033344
2790,0.08855842,0.13449287,0.13985945,0.12531075
2800,0.12851727,0.14456329,0.15057439,0.1402426
2810,0.09966798,0.11210303,0.12154652,0.12660025
2820,0.16127785,0.14888345,0.123740144,0.10939294
2830,0.14231044,0.110590085,0.104779564,0.108349904
2840,0.11763382,0.1341165,0.114955954,0.1280725
2850,0.12299753,0.118914604,0.1257633,0.13478966
2860,0.1418883,0.11164565,0.10618107,0.09852751
2870,0.11201499,0.10127917,0.12587024,0.12214849
2880,0.09479781,0.121626124,0.12617883,0.1279946
2890,0.12542242,0.106362775,0.086733714,0.13272868
2900,0.12968169,0.11259723,0.13817857,0.11322273
2910,0.09509675,0.13305855,0.10396213,0.16555762
2920,0.1235736,0.10392413,0.12854202,0.14794995
2930,0.12990299,0.12909162,0.15634933,0.106817886
2940,0.123490356,0.123410314,0.12034631,0.12679972
2950,0.11484794,0.12036581,0.090831116,0.13047309
2960,0.1004739,0.1237165,0.16036405,0.11334563
2970,0.11305532,0.13174567,0.16098425,0.13888901
2980,0.1294091,0.14113414,0.11556589,0.101190835
2990,0.09768633,0.10318242,0.14721811,0.122565806
3000,0.12576771,0.0986426,0.13666627,0.14452346
3010,0.094775155,0.1289016,0.119812615,0.096337244
3020,0.108065926,0.15142494,0.14072219,0.09876901
3030,0.12940606,0.11518389,0.13162576,0.13117205
3040,0.13655382,0.12803698,0.10633615,0.13188675
3050,0.11101204,0.11685434,0.11254126,0.11515777
3060,0.11076154,0.10980622,0.118162915,0.10996136
3070,0.1135109,0.10529283,0.11171596,0.13174884
3080,0.112586446,0.13248777,0.10134795,0.14293505
3090,0.13455924,0.14581823,0.116552286,0.1283967
3100,0.15171665,0.10200692,0.1326046,0.1471909
3110,0.12292904,0.14461476,0.102555014,0.11759165
3120,0.1253861,0.116305426,0.13475773,0.14648958
3130,0.122663595,0.11111381,0.1264215,0.080758974
3140,0.17570062,0.11332351,0.08841756,0.1279994
3150,0.102948666,0.11072518,0.10299141,0.115136504
3160,0.12206358,0.11758999,0.13220401,0.12324014
3170,0.15652218,0.13327843,0.16939886,0.124515146
3180,0.10702692,0.12930064,0.11377493,0.13934651
3190,0.14498834,0.12335811,0.13249259,0.1331865
3200,0.14524323,0.1221315,0.103138484,0.11638172
3210,0.14258832,0.12435724,0.14090738,0.14138538
3220,0.11366801,0.12072044,0.12986879,0.13078362
3230,0.13573855,0.110693395,0.12699653,0.12347251
3240,0.10934667,0.12968346,0.10699254,0.102462485
3250,0.110163584,0.106202275,0.12500691,0.117939055
3260,0.12676679,0.10735579,0.15777421,0.10694741
3270,0.10926843,0.11715721,0.094272465,0.11974259
3280,0.11577919,0.12571405,0.11882718,0.12561789
3290,0.11689477,0.13164788,0.12915044,0.1214316
3300,0.14548458,0.1258751,0.107803434,0.11191672
3310,0.13106692,0.10965454,0.11224088,0.15863737
3320,0.120867446,0.0995923,0.12992756,0.109783836
3330,0.13860026,0.1065965,0.11760145,0.10886811
3340,0.12950563,0.15015425,0.15354379,0.14987841
3350,0.1085251,0.11709179,0.13364965,0.10841703
3360,0.1135599,0.1395261,0.11413335,0.12725027
3370,0.11711168,0.13772456,0.10558739,0.11136155
3380,0.14346823,0.12031983,0.12985007,0.1372699
3390,0.115630746,0.1279478,0.13560687,0.1539973
3400,0.13358286,0.1337421,0.13291615,0.12080629
3410,0.1230849,0.10745463,0.14372578,0.11208496
3420,0.1398658,0.15645239,0.1316011,0.10669698
3430,0.12799117,0.14526638,0.11959405,0.1296744
3440,0.1140469,0.12198785,0.095412076,0.09919601
3450,0.12984008,0.13234784,0.108179584,0.11769827
3460,0.12064361,0.11274556,0.091061026,0.12987527
