iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.053,0.056,0.051999997,0.046000004
20,0.056000005,0.062000003,0.046,0.046000004
30,0.06,0.056000005,0.03,0.028000003
40,0.062,0.07000001,0.056000005,0.054
50,0.072000004,0.084,0.063999996,0.062
60,0.086,0.088,0.064,0.068
70,0.068,0.07399999,0.05,0.058000002
80,0.076000005,0.088000014,0.06,0.055999998
90,0.092,0.096,0.05,0.058000002
100,0.074,0.106000006,0.042,0.063999996
110,0.088,0.102,0.074,0.077999994
120,0.10599999,0.106000006,0.046000004,0.046
130,0.096,0.102,0.036000002,0.054
140,0.11,0.1,0.055999998,0.056000005
150,0.094000004,0.144,0.07399999,0.08
160,0.08,0.12,0.044,0.058000002
170,0.086,0.144,0.05,0.072
180,0.11400001,0.16,0.07399999,0.102000006
190,0.11399999,0.198,0.048,0.10599999
200,0.124,0.17400001,0.056000005,0.084
210,0.106000006,0.156,0.042,0.103999995
220,0.118,0.17,0.064,0.106000006
230,0.122,0.192,0.042,0.1
240,0.094,0.23,0.05,0.102000006
250,0.12200001,0.20799999,0.058000002,0.11399999
260,0.138,0.23,0.076000005,0.13
270,0.108,0.22600003,0.058000002,0.088
280,0.168,0.222,0.055999998,0.098000005
290,0.156,0.23200001,0.06600001,0.104
300,0.128,0.246,0.053999998,0.158
310,0.15799999,0.23400001,0.044,0.12200001
320,0.146,0.254,0.06,0.152
330,0.154,0.292,0.058000002,0.138
340,0.134,0.27,0.052,0.108
350,0.138,0.276,0.055999998,0.13800001
360,0.17,0.324,0.051999997,0.13800001
370,0.184,0.26799998,0.04,0.148
380,0.192,0.308,0.036000002,0.154
390,0.19600001,0.314,0.038,0.12
400,0.162,0.34,0.046,0.14
410,0.19800001,0.346,0.05,0.17800002
420,0.16399999,0.28,0.048,0.18200001
430,0.22400002,0.32799998,0.048,0.148
440,0.188,0.36200002,0.038000003,0.16
450,0.176,0.346,0.038000003,0.146
460,0.22799999,0.32799998,0.03,0.154
470,0.188,0.37600002,0.046,0.15200001
480,0.21400002,0.34,0.05,0.17
490,0.22600003,0.33,0.034,0.13
500,0.188,0.33,0.044,0.17799999
510,0.172,0.35599998,0.052,0.14
520,0.17800002,0.35600004,0.051999997,0.19399999
530,0.216,0.32799998,0.04,0.19
540,0.2,0.378,0.044,0.16800001
550,0.21,0.336,0.048,0.18400002
560,0.244,0.338,0.044,0.18200001
570,0.22399999,0.38799998,0.042,0.18200001
580,0.236,0.43,0.056000005,0.18
590,0.19600001,0.412,0.044,0.19399999
600,0.236,0.44599998,0.034,0.19399999
610,0.244,0.38800004,0.048,0.19
620,0.19600001,0.37,0.038000003,0.16399999
630,0.22,0.384,0.062,0.17400001
