iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.0984375,0.090625,0.115625,0.10625
20,0.109375,0.1125,0.115625,0.096875
30,0.134375,0.10625,0.109375,0.115625
40,0.11875,0.103125,0.13125,0.109375
50,0.11562501,0.109375,0.084375,0.10625
60,0.115625,0.153125,0.09375,0.14375
70,0.15,0.184375,0.078125,0.18125
80,0.14375001,0.196875,0.171875,0.21875
90,0.118750006,0.246875,0.121875,0.20625
100,0.14375,0.240625,0.140625,0.225
110,0.1375,0.246875,0.084375,0.215625
120,0.125,0.25625002,0.134375,0.23750001
130,0.10625,0.25625,0.134375,0.215625
140,0.118750006,0.259375,0.115625,0.22187501
150,0.146875,0.30312502,0.115625,0.29062504
160,0.146875,0.296875,0.121875,0.30625004
170,0.12812501,0.3,0.090625,0.265625
180,0.128125,0.303125,0.087500006,0.284375
190,0.11874999,0.315625,0.112500004,0.29375
200,0.15625,0.31875002,0.09375,0.315625
210,0.15937501,0.33750004,0.08125,0.315625
220,0.134375,0.35000002,0.071875,0.29062504
230,0.184375,0.36875,0.056250002,0.30312502
240,0.12812501,0.33437502,0.103125006,0.340625
250,0.125,0.35000002,0.053125,0.371875
260,0.171875,0.378125,0.115625,0.3375
270,0.171875,0.38437504,0.103125006,0.328125
280,0.16250001,0.38125,0.053125,0.34375
290,0.178125,0.38125002,0.10625,0.35000002
300,0.13125001,0.390625,0.125,0.3625
310,0.15,0.440625,0.071875006,0.39375
320,0.15625,0.41875,0.065625,0.39375
330,0.18437502,0.440625,0.078125,0.403125
340,0.12812501,0.44375,0.071875006,0.40000004
350,0.18125,0.44687498,0.10625,0.41875
360,0.2,0.45625,0.11875,0.421875
370,0.140625,0.5,0.09375,0.465625
380,0.171875,0.46250004,0.106249996,0.46875
390,0.15,0.45624998,0.084375,0.47812504
400,0.14375,0.484375,0.09375,0.45937502
410,0.165625,0.45624998,0.071875006,0.41562504
420,0.14375001,0.496875,0.075,0.44375002
430,0.165625,0.503125,0.065625,0.45
440,0.159375,0.525,0.121875,0.48125002
450,0.2,0.49062502,0.13125,0.4375
460,0.22187501,0.53437495,0.1,0.47187498
470,0.1375,0.509375,0.103125006,0.528125
480,0.17500001,0.553125,0.118750006,0.50625
490,0.1875,0.515625,0.1375,0.51874995
500,0.14375,0.51875,0.134375,0.51250005
510,0.15625,0.55,0.08125,0.534375
520,0.19062501,0.53125,0.090625,0.45000002
530,0.15,0.56250006,0.1125,0.50937504
540,0.13125001,0.528125,0.13125,0.49687505
550,0.165625,0.5375,0.1,0.521875
560,0.17500001,0.578125,0.090624996,0.546875
570,0.165625,0.59062505,0.084374994,0.503125
580,0.121875,0.5875,0.09375,0.51875
590,0.1375,0.5375,0.103125006,0.553125
600,0.15312502,0.53125,0.1375,0.5375
610,0.159375,0.584375,0.10625,0.584375
620,0.134375,0.55937505,0.115625,0.5
630,0.19062501,0.55937505,0.075,0.5
640,0.112500004,0.57187504,0.109375,0.540625
650,0.125,0.63124996,0.103125,0.49375004
660,0.153125,0.59687495,0.10625,0.553125
670,0.165625,0.621875,0.078125,0.503125
680,0.17812501,0.6125,0.109375,0.58125
690,0.196875,0.609375,0.103125,0.5625
700,0.190625,0.63125,0.0625,0.57187504
710,0.1625,0.59687495,0.096875004,0.59375
720,0.17500001,0.61875,0.121875,0.5812501
730,0.2,0.59375,0.071875006,0.58750004
740,0.165625,0.6125001,0.09375,0.59375
750,0.165625,0.646875,0.109375,0.553125
760,0.15625,0.63125,0.103125,0.571875
770,0.190625,0.653125,0.109375,0.596875
780,0.175,0.653125,0.103125006,0.55
790,0.203125,0.65,0.09375,0.540625
800,0.171875,0.603125,0.115624994,0.6125
810,0.18125,0.659375,0.115625,0.58124995
820,0.16874999,0.68125,0.078125,0.596875
830,0.184375,0.603125,0.087500006,0.61875
840,0.1375,0.58125,0.112500004,0.634375
850,0.14375001,0.63125,0.1375,0.61875004
860,0.15,0.646875,0.115624994,0.61562496
870,0.19375,0.703125,0.099999994,0.63125
880,0.184375,0.615625,0.096875,0.578125
890,0.2125,0.59999996,0.109375,0.61875
900,0.165625,0.69062495,0.096875,0.60625005
910,0.11875,0.665625,0.10000001,0.615625
920,0.165625,0.678125,0.106249996,0.6375
930,0.140625,0.6375,0.09375,0.590625
940,0.16874999,0.675,0.096875004,0.625
950,0.15625,0.671875,0.121875,0.634375
960,0.171875,0.609375,0.11562501,0.60625
970,0.18125,0.696875,0.09375,0.61875004
980,0.171875,0.6625,0.09375,0.646875
990,0.1375,0.6625,0.099999994,0.64375
1000,0.190625,0.665625,0.08125,0.665625
1010,0.115625,0.66875,0.109375,0.70937496
1020,0.16875,0.678125,0.1,0.63125
1030,0.165625,0.6875,0.103125006,0.65
1040,0.165625,0.675,0.109375,0.65
