iter,task_train_loss_pre_optim,task_train_loss_post_optim,task_test_loss_pre_optim,task_test_loss_post_optim
10,1.2910552,1.1539307,1.3599998,0.2925359
20,1.1825135,0.24997224,1.1840644,0.37263244
30,1.3004283,0.3295362,1.172417,0.26625815
40,1.414613,0.39766106,1.1881282,0.20603406
50,1.2829229,0.31138146,1.2013931,0.24207412
60,1.3989191,0.2417638,1.1091999,0.1449125
70,1.1377331,0.2141565,1.0878153,0.18405867
80,1.1193056,0.13237417,1.370187,0.37107563
90,0.9325109,0.18017003,1.1178057,0.17722738
100,1.042793,0.18797126,1.0265313,0.14624491
110,1.1577172,0.1725207,1.0842642,0.16101125
120,0.9801863,0.16090031,1.2902093,0.33452216
130,1.2687005,0.27846277,1.2158262,0.16583234
140,0.943253,0.1736747,1.1431589,0.29846883
150,1.1698849,0.22793062,1.1521804,0.2002308
160,1.1270796,0.28723615,1.0071535,0.15597863
170,0.96904254,0.14531127,0.88274515,0.10597777
180,0.97484314,0.23595433,0.89292467,0.16965304
190,1.0261722,0.25824624,1.0364094,0.14668722
200,0.94321024,0.16247663,0.92369133,0.14233938
210,1.0355368,0.14353898,1.0087509,0.18135454
220,1.06586,0.20796616,1.0332508,0.22924158
230,0.80568814,0.103927836,0.93365645,0.21730569
240,1.0267692,0.2408664,0.9328233,0.2134698
250,1.0845379,0.19745392,0.82656604,0.18705171
260,0.8858957,0.18766779,0.8064696,0.23408741
270,0.9298036,0.1637527,0.87333405,0.23011649
280,0.7277044,0.22079033,0.9441058,0.1797885
290,0.81326973,0.12305529,1.1929141,0.34043753
300,0.9750049,0.23516983,0.83662456,0.14874919
310,0.8470297,0.1182273,0.91657287,0.19051927
320,0.8095287,0.14924602,0.84948933,0.23265031
330,0.89494455,0.20439564,0.93814087,0.29358035
340,0.8884269,0.2190821,0.6825203,0.1762791
350,0.812758,0.21878597,0.82905364,0.18335015
360,0.7246374,0.23640907,0.75799847,0.13637085
370,0.82905865,0.17833424,0.7622144,0.11433715
380,0.7976604,0.1610761,0.6773953,0.17971022
390,0.8735999,0.29785168,0.6765536,0.20279768
400,0.7322594,0.14495862,0.81266993,0.18709737
410,0.639935,0.14660382,0.8132609,0.31513077
420,0.74921256,0.18460843,0.7649191,0.18203643
430,0.9425133,0.2805326,0.74342835,0.30284852
440,0.60335326,0.10445259,0.8034557,0.2111191
450,0.71265733,0.14684092,0.6334424,0.14652503
460,0.6111595,0.11994675,0.69482034,0.14064029
470,0.49309456,0.13848719,0.61786413,0.23767206
480,0.60773844,0.14526153,0.582495,0.24726412
490,0.7547345,0.16203375,0.7353045,0.19582006
500,0.56027997,0.15108636,0.5710007,0.22588715
