iter,task_train_loss_pre_optim,task_train_loss_post_optim,task_test_loss_pre_optim,task_test_loss_post_optim
10,0.66878366,0.45054334,0.25646466,0.15312396
20,0.26233852,0.1381816,0.24331138,0.1485579
30,0.16631293,0.17835188,0.17565879,0.15659858
40,0.21731308,0.14673743,0.20918606,0.15800712
50,0.12455129,0.13110258,0.1373474,0.090225644
60,0.11230764,0.13162154,0.114454634,0.11892505
70,0.20190117,0.09111152,0.20442834,0.13085002
80,0.1670841,0.10035886,0.19798942,0.15746647
90,0.14418286,0.14217058,0.16957335,0.11101821
100,0.14660409,0.13500443,0.116587296,0.14645678
110,0.17162102,0.10408547,0.13823631,0.12458101
120,0.17445123,0.10542559,0.15472,0.11683423
130,0.1257729,0.14408977,0.12593538,0.11380336
140,0.1663392,0.1648923,0.1386148,0.13154255
150,0.17305517,0.14396152,0.13926466,0.13981605
160,0.157439,0.1345149,0.1283092,0.1472915
170,0.1604127,0.13733181,0.17490181,0.105582595
180,0.1375651,0.1065862,0.17125063,0.12958562
190,0.1708889,0.11885904,0.13423668,0.14282158
200,0.15397038,0.11208757,0.151665,0.116910264
210,0.15263397,0.13824122,0.14963678,0.13886265
220,0.12944219,0.09731182,0.1384395,0.13715026
230,0.16209581,0.10765337,0.15305772,0.11396207
240,0.14952779,0.115810946,0.17083998,0.13457978
250,0.17433801,0.10601185,0.1648435,0.14816748
260,0.14756194,0.116831824,0.13414441,0.1429284
270,0.16686115,0.10001088,0.14633039,0.1511323
280,0.13110538,0.110122025,0.15279672,0.09642535
290,0.122722864,0.16837683,0.1570921,0.11367865
300,0.15179628,0.12988108,0.0941249,0.1056491
310,0.114750355,0.15392743,0.13492352,0.1374117
320,0.10963714,0.14209229,0.105313025,0.13272819
330,0.13352194,0.10702545,0.14351219,0.13157165
340,0.11327301,0.13877289,0.11110218,0.14310023
350,0.13736524,0.1373557,0.1189359,0.15408891
360,0.16318214,0.15773857,0.12162077,0.13025495
370,0.14294557,0.13221148,0.18402922,0.12672031
380,0.12025794,0.13485631,0.105051786,0.12933604
390,0.12724292,0.12900707,0.13056283,0.124157146
400,0.115174934,0.1400128,0.10381189,0.12301296
410,0.16693854,0.11500162,0.10813269,0.14187218
420,0.123798646,0.13469198,0.10165742,0.15100566
430,0.1501602,0.12997961,0.12700707,0.09761668
440,0.10271217,0.11080885,0.14199916,0.16620237
450,0.12231547,0.1288858,0.15142718,0.110483676
460,0.120365664,0.10700166,0.10599668,0.12980568
470,0.15432715,0.13190119,0.12473638,0.12902023
480,0.12676792,0.1164897,0.13776216,0.15087306
490,0.1501444,0.13639757,0.16714,0.117457926
500,0.118138716,0.1106725,0.13736972,0.11685166
510,0.15700324,0.08645988,0.14515628,0.12961712
520,0.12716761,0.13934812,0.13491872,0.15597935
530,0.1475603,0.0987108,0.119645216,0.14671762
540,0.12615658,0.15285635,0.12876607,0.10850864
550,0.11563432,0.13403596,0.15324327,0.13277274
560,0.12553398,0.13630366,0.1341314,0.12735477
570,0.14080653,0.11502634,0.087795,0.1283263
580,0.16446307,0.118665546,0.15102959,0.15173796
590,0.14192797,0.14174765,0.11787168,0.09957099
600,0.10694206,0.12930654,0.11381352,0.102537826
610,0.15074691,0.12080988,0.10075188,0.12417861
620,0.058693558,0.15134804,0.12539151,0.14958829
630,0.09945056,0.14909323,0.12276315,0.12051003
640,0.13278788,0.12976892,0.13974047,0.13862711
650,0.13174476,0.14485592,0.13533893,0.15940958
660,0.12308349,0.11369622,0.10706067,0.111132674
670,0.108903624,0.13142726,0.09711108,0.13831028
680,0.13857576,0.12508255,0.13464364,0.09596323
690,0.13748248,0.126055,0.11530647,0.10473235
700,0.13143143,0.121089175,0.11874287,0.1234527
710,0.13475919,0.1438143,0.13899344,0.10274515
720,0.10935233,0.08828608,0.12077364,0.107931964
730,0.1410481,0.11381289,0.121343575,0.11759032
740,0.118568026,0.102538735,0.09776927,0.106701344
750,0.13682556,0.13081534,0.13690552,0.17226183
760,0.14564757,0.123309545,0.11020672,0.13016099
770,0.12219294,0.16052204,0.12233991,0.08974857
780,0.08929303,0.11322263,0.10430698,0.1048562
790,0.12427214,0.13193053,0.13630018,0.15002026
800,0.113773964,0.13630322,0.12516466,0.13427624
810,0.14248013,0.1139638,0.10366285,0.14551318
820,0.11285123,0.13087918,0.12423154,0.09716612
830,0.11386122,0.14776522,0.12438164,0.11066084
840,0.14649844,0.11339336,0.124724396,0.16848063
850,0.11158836,0.14000645,0.106316835,0.12656072
860,0.15430865,0.12844053,0.13683707,0.116315655
870,0.16596064,0.10518603,0.10423188,0.123214245
880,0.12763096,0.12454391,0.12871504,0.13565058
890,0.105108514,0.10214445,0.13565204,0.14454691
900,0.1390156,0.1603078,0.100362316,0.11781295
910,0.13521346,0.12796628,0.109980136,0.10087417
920,0.1417012,0.12975195,0.1496918,0.11552181
930,0.10550876,0.11354723,0.14802578,0.080191225
940,0.14775302,0.11839539,0.11394706,0.13615426
950,0.13392484,0.10546134,0.10471753,0.10835283
960,0.13068119,0.15818954,0.13619892,0.118716724
970,0.10894656,0.13703129,0.119499415,0.11045015
980,0.122204766,0.1583795,0.15597719,0.104479074
990,0.121058434,0.12705441,0.13724265,0.11545325
1000,0.10465832,0.118417695,0.1310987,0.110364124
1010,0.14739896,0.11181011,0.10897241,0.14092004
1020,0.09062043,0.13054556,0.115799025,0.15589674
1030,0.123574644,0.1523368,0.13521945,0.10757415
1040,0.079938486,0.11964421,0.14727491,0.13302013
1050,0.117189586,0.13391806,0.1110941,0.12330374
1060,0.1621907,0.11282396,0.1043919,0.13445106
1070,0.13182113,0.0972297,0.11990132,0.16937494
1080,0.112908825,0.12536697,0.13124122,0.08705984
1090,0.1490421,0.12673858,0.13023284,0.121913865
1100,0.07755487,0.14941427,0.090454444,0.12662844
1110,0.1201496,0.12791738,0.13719895,0.10529326
1120,0.12563978,0.11356141,0.13202949,0.14513555
1130,0.118540585,0.10435058,0.11170695,0.124545425
1140,0.14227355,0.14712475,0.100133434,0.12520184
1150,0.105542034,0.12703367,0.12520385,0.12922132
1160,0.13177013,0.12108208,0.12177756,0.11853613
1170,0.12035999,0.11709769,0.11867207,0.117096074
1180,0.15354054,0.13309245,0.11594768,0.12796862
1190,0.11884088,0.13861021,0.15014628,0.13128889
1200,0.13864815,0.10409172,0.12400926,0.11930118
1210,0.1319708,0.13506317,0.09597101,0.10752134
1220,0.15774918,0.08900095,0.16294853,0.097492434
1230,0.13237868,0.12714086,0.113808334,0.1438924
1240,0.13504004,0.111352354,0.115155235,0.10343571
1250,0.12307939,0.1392673,0.11393346,0.14086702
1260,0.09493603,0.1334607,0.15571564,0.12427987
1270,0.1374204,0.10314316,0.10473973,0.15552846
1280,0.12076738,0.14799795,0.132992,0.14143392
1290,0.117955446,0.096431345,0.09421351,0.1529655
1300,0.1267838,0.10439813,0.15932551,0.13431194
1310,0.10442583,0.13940877,0.11355165,0.11555468
1320,0.11106298,0.11244324,0.13759983,0.17060795
1330,0.1292735,0.10185881,0.06913448,0.15594192
1340,0.12468725,0.12383011,0.11780157,0.10644084
1350,0.11555888,0.13983855,0.13327944,0.12050246
1360,0.13627993,0.13019356,0.15658309,0.14622629
1370,0.11736773,0.1599048,0.11041187,0.12591383
1380,0.16104785,0.109538585,0.13744664,0.12586768
1390,0.12827075,0.1425085,0.10003184,0.15967092
1400,0.108592995,0.10119542,0.09094036,0.12745404
1410,0.15583932,0.15011783,0.17829901,0.14636444
1420,0.09938145,0.11013675,0.10250297,0.1430729
1430,0.11742899,0.11761752,0.123926826,0.12963633
1440,0.10647565,0.106209606,0.14392489,0.112073936
1450,0.118582435,0.14654116,0.1299534,0.11423291
1460,0.10968301,0.07677466,0.1408677,0.13534738
1470,0.13365425,0.11273067,0.099959046,0.13402897
1480,0.0949587,0.11527104,0.11643821,0.12551273
1490,0.100926444,0.114398,0.09527696,0.124243274
1500,0.12208239,0.1519046,0.14155123,0.10586859
1510,0.12012005,0.1230602,0.10299413,0.13359047
1520,0.12674946,0.11494114,0.0877049,0.12946272
1530,0.12719992,0.10993103,0.12258315,0.11618217
1540,0.12807247,0.11382666,0.09075463,0.1387744
1550,0.121907026,0.13003387,0.1031077,0.10457476
1560,0.11188735,0.16468482,0.11150566,0.1000682
1570,0.10420926,0.093965776,0.1369054,0.1478244
1580,0.13406317,0.09627363,0.112963155,0.12063703
1590,0.12871015,0.10974342,0.117668845,0.120155506
1600,0.1100135,0.14192627,0.1331211,0.13527535
1610,0.091997445,0.112151735,0.08685781,0.14251849
1620,0.121074244,0.11712145,0.14230435,0.103796124
1630,0.09960723,0.12468137,0.10618899,0.11734585
1640,0.12986664,0.14088628,0.13896874,0.14974481
1650,0.13710397,0.13912614,0.111128986,0.13434485
1660,0.13106725,0.15802644,0.11425969,0.14297359
1670,0.12278716,0.1023496,0.114346534,0.11882135
1680,0.15242577,0.13254972,0.14001618,0.13854375
1690,0.1358887,0.15208267,0.14888199,0.13470306
1700,0.121091336,0.14943354,0.12928614,0.10638997
1710,0.109001644,0.102095544,0.10729748,0.14419773
1720,0.12234478,0.15693307,0.14700308,0.12250034
1730,0.118426874,0.10112016,0.150712,0.13226527
1740,0.14500096,0.11850398,0.14480495,0.10509324
1750,0.11085488,0.10962109,0.13217446,0.11528459
1760,0.09840746,0.102458864,0.11395168,0.10613856
1770,0.12864447,0.103445694,0.13120085,0.13577513
1780,0.12717542,0.109090805,0.12191494,0.12771988
1790,0.13129035,0.14756247,0.11026909,0.13897523
1800,0.12691566,0.14343527,0.11809097,0.12301373
1810,0.11429582,0.13158269,0.12109085,0.10420191
1820,0.14327413,0.097509906,0.111655906,0.0959823
1830,0.11686298,0.12406473,0.106836766,0.1550557
1840,0.16226536,0.13963103,0.17155856,0.14587604
1850,0.10472122,0.114310786,0.12668811,0.12877418
1860,0.14494283,0.13254933,0.118944936,0.15425688
1870,0.13945028,0.11425038,0.16011682,0.12135314
1880,0.12548774,0.115665935,0.11079894,0.1518502
1890,0.1103698,0.13358486,0.13289228,0.13245493
1900,0.108836666,0.11990317,0.08386938,0.10025994
1910,0.114372976,0.1249526,0.1205959,0.12139839
1920,0.1335114,0.08161988,0.16289513,0.11781724
1930,0.10861193,0.13383026,0.11629908,0.16261064
1940,0.13661976,0.14799842,0.1492087,0.11578294
1950,0.14205375,0.12948671,0.14445385,0.109342635
1960,0.13021262,0.12775975,0.1290977,0.12283587
1970,0.09883642,0.11391139,0.12458055,0.09175739
1980,0.12378767,0.09249894,0.12110232,0.13168499
1990,0.0855021,0.11170035,0.12847795,0.15188724
2000,0.13115002,0.10982159,0.1330669,0.13312136
2010,0.11533396,0.109311044,0.11680879,0.11286538
2020,0.09991725,0.10260668,0.15501921,0.124393426
2030,0.10319125,0.08944358,0.1109669,0.12510401
2040,0.14356536,0.14674696,0.12852404,0.15572552
2050,0.11391981,0.132189,0.13391322,0.08786916
2060,0.10162866,0.11028156,0.08973323,0.13408396
2070,0.1426661,0.13983347,0.104006305,0.11373484
2080,0.11322032,0.10626729,0.14434507,0.1219981
2090,0.119768575,0.12264472,0.123441234,0.1440838
2100,0.12740313,0.10193462,0.1548817,0.120203145
2110,0.11339022,0.10201965,0.124215975,0.12066165
2120,0.11027468,0.119096026,0.113409854,0.12092009
2130,0.122571945,0.106636256,0.10823475,0.124551855
2140,0.109975725,0.11226708,0.11156182,0.14850457
2150,0.12402274,0.112517565,0.11108569,0.14421563
2160,0.09798828,0.113234304,0.12845227,0.11539148
2170,0.0963285,0.11473108,0.12531939,0.098662354
2180,0.11426295,0.12160434,0.10681186,0.12976512
2190,0.101842664,0.123192705,0.116619304,0.11510212
2200,0.13305756,0.14080243,0.14660758,0.0977381
2210,0.085330814,0.13160469,0.11638541,0.11482958
2220,0.11576697,0.1460246,0.08652826,0.12113389
2230,0.15487719,0.10002836,0.15811029,0.0947536
2240,0.13219443,0.10937835,13.755643,0.48207653
2250,0.1094245,0.12516123,0.13703394,0.1372793
2260,0.16412908,0.12903243,0.13552028,0.15419756
2270,0.10148861,0.12192401,0.13176134,0.12789527
2280,0.14874315,0.1155855,0.09459926,0.14145564
2290,0.14167488,0.12688595,0.108429596,0.1093649
2300,0.111105874,0.11354041,0.119237125,0.07630052
2310,11.841331,1.1515005,10.324992,0.9304317
2320,0.27701986,0.20700338,0.28648436,0.13404968
2330,0.16577862,0.12312882,0.1458319,0.12107477
2340,0.1573647,0.1452941,0.121844925,0.11471088
2350,0.10760342,0.13967346,0.17027587,0.111587435
2360,0.14315468,0.13290553,0.1455225,0.1356441
2370,0.14370205,0.09914502,0.1266101,0.14503884
2380,0.12985767,0.13563453,0.11520518,0.12496935
2390,0.13025366,0.1211527,0.1343928,0.14768139
2400,0.13988301,0.14571227,0.117583446,0.1334328
2410,0.17931306,0.12231754,0.13116238,0.12582463
2420,0.12774986,0.12122604,0.13356456,0.13922781
2430,0.12310019,0.1374983,0.15724763,0.1185121
2440,0.107220024,0.14645843,0.114263594,0.108087525
2450,0.15247908,0.10891983,0.14082482,0.15271455
2460,0.16714278,0.10780947,0.117481105,0.11196448
2470,0.113687485,0.16356379,0.12550408,0.13925347
2480,0.14997497,0.124728486,0.11219546,0.14567229
2490,0.118485376,0.120575175,0.1607897,0.13193235
2500,0.13780105,0.11602786,0.12943068,0.14490703
2510,0.12364678,0.11037692,0.11680709,0.09272871
2520,0.13145009,0.08503346,0.14424156,0.13034832
2530,0.115067214,0.15915738,0.1276828,0.118363604
2540,0.093036905,0.12987392,0.11097471,0.12104146
2550,0.14664768,0.09202309,0.14665294,0.10127771
2560,0.14189272,0.12981944,0.12382205,0.14323902
2570,0.1339483,0.12475869,0.09111139,0.13221411
2580,0.101746164,0.13979301,0.12583849,0.119605064
2590,0.123947814,0.1398167,0.11796598,0.10983769
