iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
1410,0.125,0.73125005,0.05,0.71875
1420,0.15,0.725,0.10625,0.6625
1430,0.225,0.70000005,0.05625,0.76250005
1440,0.18125,0.625,0.087500006,0.69375
1450,0.13125,0.75,0.0375,0.67499995
1460,0.1125,0.81875,0.099999994,0.6437501
1470,0.14375,0.6875,0.09375,0.73125005
1480,0.15625,0.7,0.1,0.74375004
1490,0.15,0.775,0.118750006,0.75625
1500,0.20000002,0.71875,0.118750006,0.725
1510,0.18125,0.70625,0.10625,0.78125
1520,0.16875,0.75624996,0.10625,0.73125005
1530,0.1375,0.7875,0.09375,0.64374995
1540,0.15,0.73749995,0.1,0.70625
1550,0.15,0.70000005,0.075,0.75625
1560,0.16875,0.8125,0.08125,0.73125
1570,0.16875,0.8125,0.1,0.69375
1580,0.112500004,0.75625,0.09375,0.70000005
1590,0.19375,0.7625,0.087500006,0.675
1600,0.14375001,0.74375,0.099999994,0.68125
1610,0.15625,0.75625,0.11875,0.6875
1620,0.15625,0.7,0.09375,0.75
1630,0.2,0.725,0.087500006,0.7375
1640,0.125,0.73749995,0.125,0.66875005
1650,0.16250001,0.75,0.09375,0.675
1660,0.1625,0.78125,0.05,0.71875
1670,0.2,0.7125,0.05,0.7375
1680,0.14375001,0.81875,0.06875,0.74375
1690,0.15,0.77500004,0.10625,0.73125
1700,0.1875,0.74375004,0.112500004,0.71875
1710,0.20625,0.84375,0.0625,0.64375
1720,0.15,0.74375,0.125,0.78125
1730,0.15625,0.73125005,0.1,0.75
1740,0.16875002,0.79375,0.0625,0.6625
1750,0.13125,0.78125,0.08125,0.74375
1760,0.15625,0.71250004,0.13125,0.75625
1770,0.125,0.7375,0.118750006,0.73749995
1780,0.15,0.74375,0.11875,0.75
1790,0.18750001,0.71875,0.075,0.73749995
1800,0.2,0.74375,0.1125,0.70624995
1810,0.13125,0.76874995,0.0875,0.74375
1820,0.1375,0.78125,0.1,0.70000005
1830,0.17500001,0.75625,0.1,0.6625
1840,0.15625,0.73125,0.075,0.76875
1850,0.087500006,0.75,0.125,0.825
