iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.21875,0.21875,0.2125,0.2
20,0.2125,0.2,0.2,0.2125
30,0.2125,0.1875,0.225,0.2125
40,0.2,0.2,0.2,0.225
50,0.2,0.1875,0.1875,0.2
60,0.2,0.2625,0.17500001,0.2125
70,0.1625,0.225,0.15,0.2125
80,0.1875,0.2625,0.25,0.25
90,0.2,0.23750001,0.2,0.3
100,0.23750001,0.3875,0.1625,0.3375
110,0.15,0.3125,0.2125,0.3125
120,0.16250001,0.35,0.1375,0.32500002
130,0.2375,0.3125,0.275,0.35000002
140,0.2,0.32500002,0.2125,0.35000002
150,0.225,0.32500002,0.1875,0.3125
160,0.17500001,0.33750004,0.275,0.3875
170,0.1875,0.375,0.2125,0.375
180,0.2,0.375,0.1625,0.3375
190,0.22500001,0.275,0.21249999,0.375
200,0.25,0.375,0.2,0.3875
210,0.2125,0.3375,0.2125,0.3625
220,0.25,0.4375,0.23750001,0.3
230,0.1625,0.3625,0.2125,0.35000002
240,0.22500001,0.375,0.1875,0.35000002
250,0.1375,0.32500002,0.2,0.3875
260,0.15,0.35000002,0.25,0.3625
270,0.17500001,0.3875,0.1375,0.3375
280,0.2,0.28750002,0.225,0.4
290,0.175,0.3625,0.2125,0.35000002
300,0.20000002,0.375,0.1875,0.33750004
310,0.125,0.3625,0.25,0.35000002
320,0.22500001,0.38750002,0.275,0.3875
330,0.15,0.4,0.1875,0.41250002
340,0.2125,0.33750004,0.2375,0.4
350,0.1375,0.3125,0.23750001,0.3375
360,0.2,0.375,0.2,0.3375
370,0.1625,0.3625,0.19999999,0.3875
380,0.1875,0.33750004,0.16250001,0.38750002
390,0.25,0.35000002,0.15,0.35000002
400,0.2125,0.3625,0.16250001,0.375
410,0.2125,0.375,0.2625,0.37500003
420,0.1875,0.3375,0.225,0.41250002
430,0.1625,0.35,0.25,0.41250002
440,0.2125,0.32500002,0.175,0.3
450,0.15,0.3875,0.1875,0.375
460,0.275,0.3625,0.25,0.375
470,0.2125,0.45,0.15,0.41250002
480,0.17500001,0.38750002,0.20000002,0.425
490,0.2625,0.425,0.2,0.4
500,0.2,0.45000002,0.1875,0.3875
510,0.1875,0.375,0.2375,0.425
520,0.2125,0.42499998,0.23750001,0.55
530,0.2,0.4875,0.1375,0.5375
540,0.225,0.475,0.1875,0.45
550,0.1375,0.5375,0.15,0.4875
560,0.22500001,0.4625,0.2625,0.45
570,0.1875,0.5375,0.26250002,0.57500005
580,0.1375,0.5375,0.175,0.425
590,0.1625,0.46249998,0.16250001,0.5
600,0.1875,0.4875,0.225,0.5
610,0.1875,0.45,0.25,0.525
620,0.17500001,0.45000002,0.2875,0.45000002
630,0.2125,0.47500002,0.1625,0.5125
640,0.2,0.5375,0.15,0.5625
650,0.1375,0.675,0.16250001,0.5125
660,0.22500001,0.5500001,0.125,0.55
670,0.2125,0.5625,0.175,0.55
680,0.3125,0.55,0.25,0.5
690,0.1875,0.57500005,0.2375,0.55
700,0.2,0.58750004,0.125,0.48749998
710,0.1125,0.5625,0.15,0.4875
720,0.175,0.5625,0.175,0.5625
730,0.225,0.58750004,0.1875,0.5
740,0.20000002,0.6125,0.2625,0.57500005
750,0.1875,0.6,0.1875,0.4875
760,0.175,0.5,0.2,0.62500006
770,0.1375,0.6625,0.1375,0.5375
780,0.25,0.55,0.125,0.625
790,0.1375,0.5375,0.2125,0.6
800,0.2,0.6125,0.1875,0.5875
810,0.25,0.63750005,0.15,0.57500005
820,0.20000002,0.625,0.26250002,0.55
830,0.15,0.57500005,0.2625,0.6125001
840,0.225,0.6125,0.1875,0.71250004
850,0.2,0.63750005,0.15,0.45000005
860,0.175,0.725,0.25,0.7
870,0.1875,0.57500005,0.28750002,0.58750004
880,0.225,0.65000004,0.17500001,0.6
890,0.1875,0.6125001,0.275,0.625
900,0.2,0.5875,0.15,0.57500005
