iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_train_params_dist,task_test_acc_pre_optim,task_test_acc_post_optim,task_test_params_dist
1000,0.05,0.05,2.633454,0.05,0.05,2.6334536
1010,0.05,0.05,2.6334503,0.05,0.05,2.63345
1020,0.05,0.05,2.6334488,0.05,0.048,2.633449
1030,0.05,0.05,2.633451,0.05,0.051999997,2.633451
1040,0.05,0.05,2.6334472,0.05,0.05,2.6334467
1050,0.05,0.05,2.6334417,0.05,0.05,2.6334414
1060,0.05,0.05,2.6334412,0.052,0.05,2.6334412
1070,0.05,0.05,2.6334414,0.05,0.05,2.6334414
1080,0.05,0.052,2.6334426,0.05,0.05,2.6334424
1090,0.05,0.05,2.633441,0.05,0.05,2.6334405
1100,0.05,0.05,2.6334388,0.052,0.05,2.6334388
1110,0.05,0.05,2.6334329,0.05,0.05,2.633432
1120,0.05,0.05,2.6334283,0.05,0.05,2.6334276
1130,0.05,0.05,2.6334238,0.05,0.05,2.6334229
1140,0.05,0.05,2.633421,0.05,0.05,2.633421
1150,0.052,0.05,2.6334229,0.05,0.048,2.633423
1160,0.05,0.05,2.6334274,0.05,0.05,2.6334276
1170,0.05,0.051999997,2.6334262,0.048,0.051999997,2.6334262
1180,0.05,0.05,2.633426,0.05,0.05,2.633426
1190,0.05,0.05,2.633426,0.05,0.05,2.6334264
1200,0.05,0.05,2.6334257,0.05,0.05,2.633426
1210,0.05,0.052,2.633426,0.05,0.05,2.6334262
1220,0.05,0.05,2.6334257,0.051999997,0.05,2.6334257
1230,0.05,0.05,2.633429,0.05,0.05,2.633429
1240,0.05,0.05,2.6334307,0.05,0.05,2.6334312
1250,0.05,0.05,2.633432,0.05,0.05,2.6334324
1260,0.048,0.048,2.6334302,0.052,0.05,2.6334302
1270,0.05,0.05,2.6334302,0.05,0.05,2.6334302
1280,0.05,0.048,2.6334326,0.05,0.05,2.6334333
1290,0.05,0.05,2.6334379,0.05,0.05,2.633438
1300,0.05,0.046000004,2.6334403,0.05,0.05,2.6334403
1310,0.05,0.05,2.6334417,0.05,0.048,2.6334424
1320,0.05,0.05,2.6334455,0.05,0.05,2.6334455
1330,0.05,0.05,2.6334429,0.05,0.05,2.6334426
1340,0.05,0.05,2.6334388,0.05,0.05,2.6334383
1350,0.048,0.048,2.633436,0.05,0.05,2.6334357
1360,0.05,0.05,2.6334333,0.05,0.05,2.6334326
1370,0.052,0.05,2.6334305,0.05,0.05,2.6334305
1380,0.05,0.05,2.6334317,0.05,0.05,2.6334314
