iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.1,0.1125,0.087500006,0.09375
20,0.1125,0.1125,0.125,0.10625
30,0.087500006,0.09375,0.043750003,0.0875
40,0.10625,0.125,0.087500006,0.10625
50,0.0875,0.10625,0.1,0.08125
60,0.09375,0.081250004,0.10625,0.075
70,0.118750006,0.09375,0.075,0.075
80,0.1375,0.10625,0.1,0.10625
90,0.118750006,0.15625,0.10625,0.112500004
100,0.15,0.118750006,0.125,0.13749999
110,0.1375,0.1375,0.1,0.11875
120,0.1375,0.15,0.09375,0.1125
130,0.1125,0.1,0.10625,0.08125
140,0.1375,0.13125,0.15625,0.106249996
150,0.13125001,0.1375,0.1,0.087500006
160,0.13125,0.15625,0.10625,0.10625
170,0.1125,0.13125001,0.1125,0.11875
180,0.1625,0.118750006,0.112500004,0.1
190,0.1125,0.13125,0.08125,0.11875
200,0.15625,0.14375001,0.112500004,0.112500004
210,0.1375,0.16250001,0.0875,0.13125001
220,0.16875,0.16875,0.11875,0.1125
230,0.09375,0.14375,0.09375,0.10000001
240,0.125,0.1875,0.1125,0.1125
250,0.125,0.16250001,0.081250004,0.16875
260,0.1125,0.14375001,0.05,0.17500001
270,0.125,0.18125,0.1125,0.14375001
280,0.17500001,0.18125,0.0375,0.17500001
290,0.09375,0.17500001,0.10625,0.1625
300,0.13125001,0.19375,0.11875,0.15
310,0.10625,0.15625,0.09375,0.118750006
320,0.13125,0.16874999,0.125,0.14375001
330,0.16250001,0.25,0.08125,0.15625
340,0.1125,0.20625001,0.1125,0.15
350,0.175,0.2125,0.043750003,0.2125
360,0.1875,0.225,0.081250004,0.1625
370,0.13125,0.25625002,0.10625,0.1625
380,0.15,0.24375,0.0625,0.23125
390,0.16875,0.23125,0.09375,0.22500001
400,0.125,0.26250002,0.08125,0.19375
410,0.1,0.225,0.1125,0.21875
420,0.15625,0.29375002,0.09375,0.225
430,0.16875,0.26875,0.10625,0.175
440,0.13125,0.2625,0.125,0.19375
450,0.13125,0.29375,0.09375,0.25625002
460,0.15,0.25,0.10625,0.23749998
470,0.15625,0.2625,0.09375,0.225
480,0.1625,0.31875,0.13125,0.23124999
490,0.23125002,0.275,0.10000001,0.15
500,0.20000002,0.3125,0.13125,0.225
510,0.17500001,0.2875,0.10625,0.18125
520,0.15,0.32500002,0.087500006,0.2375
530,0.15,0.28750002,0.10625,0.25
540,0.16875,0.30625,0.1125,0.23750001
550,0.1875,0.28125,0.06875,0.24375
560,0.17500001,0.2625,0.056250002,0.2125
570,0.225,0.33125,0.05,0.2125
580,0.18750001,0.33125,0.075,0.23124999
590,0.14375001,0.3625,0.112500004,0.18125
600,0.125,0.2375,0.04375,0.2
610,0.23124999,0.31875002,0.09375,0.225
620,0.1625,0.325,0.10625,0.28125
630,0.15,0.28125,0.10000001,0.23125
640,0.1125,0.33125,0.125,0.24375
650,0.19375,0.3,0.05625,0.24374999
660,0.18125,0.35000002,0.075,0.26875
670,0.18125,0.3,0.08125,0.2625
680,0.18125,0.35625002,0.081250004,0.24375
690,0.2125,0.35625,0.09375,0.21875
700,0.23125002,0.34375,0.1125,0.25625002
710,0.14375,0.38750002,0.10625,0.25
720,0.2625,0.43125,0.1125,0.26250002
730,0.2375,0.3875,0.09375,0.26875
740,0.17500001,0.36875004,0.08125,0.26250002
750,0.1875,0.41250002,0.09375,0.27500004
760,0.1875,0.41875,0.08125,0.2625
770,0.1875,0.375,0.10625,0.275
780,0.23124999,0.35625002,0.06875,0.275
790,0.1625,0.4,0.1125,0.3
800,0.1875,0.35625002,0.043750003,0.26875
810,0.26875,0.41875,0.125,0.26875
820,0.15,0.43125,0.087500006,0.325
830,0.18125,0.475,0.1,0.26875
840,0.21875,0.4375,0.06875,0.3125
850,0.2125,0.38125002,0.1375,0.3
860,0.21875001,0.375,0.125,0.28125
870,0.1875,0.4625,0.10625,0.26875
880,0.24375,0.43125,0.118750006,0.31875002
890,0.20625,0.41875,0.1125,0.31875
900,0.26875,0.4625,0.087500006,0.31875002
910,0.2125,0.48125002,0.08125,0.325
920,0.19375,0.44375,0.1,0.375
930,0.2375,0.3875,0.06875,0.31875
940,0.225,0.41875002,0.1125,0.36875004
950,0.18124999,0.4125,0.11875,0.33749998
960,0.25,0.425,0.09375,0.33125
970,0.16875,0.44375002,0.0625,0.35000002
980,0.2,0.48125002,0.10625,0.35
990,0.20625,0.4625,0.087500006,0.35000002
1000,0.23125,0.475,0.06875,0.3625
1010,0.20625001,0.4625,0.081250004,0.3875
1020,0.15,0.45,0.0625,0.3
1030,0.23750001,0.53125,0.09375,0.3875
1040,0.19375,0.41875,0.075,0.3375
1050,0.20625001,0.48749998,0.10625,0.3625
1060,0.21875,0.4375,0.13125001,0.29375
1070,0.19999999,0.50625,0.1125,0.33749998
1080,0.24374999,0.49999997,0.1125,0.41875
1090,0.24375,0.50624996,0.13125001,0.31875002
1100,0.24375,0.41875,0.1,0.3625
1110,0.3,0.45625,0.075,0.325
1120,0.16875,0.46249998,0.1375,0.35000002
1130,0.26250002,0.4375,0.10625,0.31875002
1140,0.2875,0.48125,0.087500006,0.31875002
1150,0.24375,0.525,0.075,0.38125002
1160,0.23124999,0.46875,0.09375,0.35625002
1170,0.29375002,0.53125,0.10625,0.375
1180,0.24375,0.5125,0.1,0.275
1190,0.28125,0.49375,0.125,0.34375
1200,0.2625,0.54375,0.0625,0.40000004
1210,0.2875,0.47500002,0.099999994,0.34375
1220,0.26875,0.48125,0.15,0.33125
1230,0.225,0.49375,0.10625,0.41250002
1240,0.29375002,0.5375,0.09375,0.36874998
1250,0.3,0.53125,0.09375,0.3375
1260,0.22500001,0.51874995,0.13749999,0.40625
1270,0.24375,0.46875,0.10625,0.39999998
1280,0.2625,0.51875,0.13125,0.41250002
1290,0.25625,0.51875,0.081250004,0.3625
1300,0.1875,0.56875,0.1375,0.3625
1310,0.3,0.55625004,0.1125,0.375
1320,0.2625,0.54375,0.0625,0.375
1330,0.29375002,0.53125,0.10625,0.425
1340,0.28125,0.53749996,0.0875,0.3625
1350,0.23125,0.525,0.1125,0.35000002
1360,0.26875,0.58125,0.075,0.41875
1370,0.25,0.54999995,0.1125,0.3625
1380,0.26875,0.5,0.13125,0.43125
1390,0.26875,0.61249995,0.1,0.4625
1400,0.29375,0.5375,0.087500006,0.375
1410,0.25,0.58750004,0.081250004,0.40625
1420,0.28125,0.5375,0.06875,0.39375
1430,0.26875,0.52500004,0.08125,0.38125002
1440,0.225,0.50625,0.125,0.41250002
1450,0.26875,0.53125,0.13125,0.43125004
1460,0.2625,0.6,0.13125,0.3625
1470,0.325,0.61249995,0.087500006,0.3875
1480,0.2625,0.51250005,0.13125,0.44375002
1490,0.28750002,0.61875,0.118750006,0.45
1500,0.30625,0.525,0.09375,0.39375
1510,0.31875,0.6125,0.112500004,0.38125
1520,0.28750002,0.60625005,0.0625,0.4
1530,0.30625,0.525,0.10625,0.3875
1540,0.3,0.55,0.112500004,0.4375
1550,0.3375,0.6125,0.10625,0.43125
1560,0.2,0.55625,0.087500006,0.425
1570,0.24375,0.64374995,0.1125,0.35625002
1580,0.3375,0.59375,0.081250004,0.4
1590,0.3625,0.58750004,0.087500006,0.39375
1600,0.28125,0.64375,0.087500006,0.45
1610,0.2875,0.5875,0.118750006,0.43125
1620,0.25,0.55625,0.075,0.4
1630,0.28125,0.54375,0.1125,0.3875
1640,0.25,0.58125,0.0375,0.44375
1650,0.3125,0.59375,0.10625,0.38125002
1660,0.28750002,0.6375,0.125,0.375
1670,0.28125,0.675,0.09375,0.4
1680,0.3125,0.6375,0.13125,0.475
1690,0.3125,0.55625,0.075,0.41875
1700,0.29375,0.575,0.0375,0.43125
1710,0.33750004,0.56875,0.075,0.41875
1720,0.3125,0.6,0.13125,0.36875
1730,0.275,0.5375,0.1125,0.43125004
1740,0.375,0.6125,0.08125,0.45625
1750,0.33125,0.7,0.0875,0.43125004
1760,0.31875002,0.575,0.1125,0.41875
1770,0.30625004,0.54375,0.09375,0.44375002
1780,0.33125,0.5625,0.09375,0.35625
1790,0.29375,0.6125,0.09375,0.4375
1800,0.225,0.6125,0.13125,0.38125
1810,0.325,0.60625005,0.09375,0.45625
1820,0.3375,0.65625,0.10625,0.45000002
1830,0.275,0.60625,0.0625,0.425
1840,0.3,0.6125,0.10625,0.45625
1850,0.27500004,0.6625,0.099999994,0.39999998
1860,0.30625,0.65625,0.0625,0.4125
1870,0.32500002,0.6,0.08125,0.425
1880,0.35000002,0.59375,0.075,0.45625
1890,0.31875002,0.60625005,0.09375,0.46249998
1900,0.31875002,0.63125,0.06875,0.41250002
1910,0.33125,0.64375,0.05,0.44375
1920,0.375,0.675,0.0875,0.49375
1930,0.31875,0.63750005,0.1125,0.50625
1940,0.34375,0.63750005,0.1125,0.46875
1950,0.325,0.63125,0.0625,0.4875
1960,0.32500002,0.6625,0.056250002,0.46250004
1970,0.3125,0.6125,0.112500004,0.525
1980,0.27499998,0.65,0.1,0.46875
1990,0.2875,0.5875,0.10625,0.45624998
2000,0.375,0.71875,0.125,0.47500002
2010,0.2625,0.6875,0.125,0.425
2020,0.40625,0.675,0.075,0.4375
2030,0.31875,0.7125,0.118750006,0.39375
2040,0.33750004,0.65000004,0.1,0.475
2050,0.3,0.60625005,0.13125,0.475
2060,0.3125,0.6625,0.10625,0.46875
2070,0.27499998,0.6,0.06875,0.46875
2080,0.33749998,0.675,0.1125,0.49375
2090,0.26875,0.61875,0.1,0.5375
2100,0.3,0.6625,0.1375,0.475
2110,0.3375,0.5875,0.1375,0.48125002
2120,0.3,0.70000005,0.1375,0.41875
2130,0.3125,0.63125,0.06875,0.49375004
2140,0.29375,0.61875,0.11875,0.44375002
2150,0.275,0.69375,0.118750006,0.5125
2160,0.41250002,0.7375,0.05625,0.39375
2170,0.3875,0.65625,0.1,0.48749998
2180,0.375,0.65000004,0.1,0.46249998
2190,0.35000002,0.7125,0.125,0.5625
2200,0.31875002,0.65000004,0.118750006,0.49374998
2210,0.35000002,0.64374995,0.09375,0.46249998
2220,0.29375,0.7125,0.087500006,0.50625
2230,0.275,0.625,0.09375,0.4875
2240,0.3125,0.66875005,0.10625,0.49375
2250,0.36875,0.69375,0.043750003,0.43124998
2260,0.30625,0.61875,0.118750006,0.47500002
2270,0.30625,0.70625,0.1375,0.48125
2280,0.3375,0.69375,0.10625,0.51250005
2290,0.34375,0.70624995,0.087500006,0.46875
2300,0.28125,0.69375,0.10625,0.46875
2310,0.35000002,0.6875,0.09375,0.5125
2320,0.3,0.66249996,0.081250004,0.4625
2330,0.3375,0.6,0.1,0.45
2340,0.3625,0.7125,0.10625,0.5812501
2350,0.3625,0.65625,0.13125,0.46875003
2360,0.31875002,0.6875,0.09375,0.5
2370,0.35625,0.67499995,0.1,0.5
2380,0.36875,0.6125,0.056250002,0.5
2390,0.31875002,0.7,0.09375,0.5375
2400,0.34375,0.70625,0.075,0.5
2410,0.35625,0.6875,0.125,0.49374998
2420,0.3625,0.7375,0.08125,0.49375004
2430,0.36875,0.64375,0.1,0.5
2440,0.35,0.64375,0.06875,0.5
2450,0.28750002,0.70000005,0.1125,0.45625
2460,0.375,0.76250005,0.0625,0.5
2470,0.275,0.65625,0.10625,0.575
2480,0.3375,0.66875,0.10625,0.51875
2490,0.375,0.7375,0.075,0.46875
2500,0.39375,0.6625,0.10625,0.50625
2510,0.3875,0.63750005,0.1125,0.53125
2520,0.25625,0.7125,0.112500004,0.50625
2530,0.3625,0.625,0.10625,0.53125
2540,0.3375,0.71875,0.125,0.5
2550,0.43125,0.74375,0.08125,0.44375
2560,0.33125,0.71250004,0.081250004,0.5
2570,0.32500002,0.65000004,0.08125,0.49374998
2580,0.38125,0.74375,0.0625,0.47500002
2590,0.33125,0.66875005,0.10625,0.54375
2600,0.3625,0.74375,0.08125,0.50625
2610,0.27499998,0.6875,0.087500006,0.47500002
2620,0.3,0.7375,0.05,0.50625
2630,0.33125,0.70000005,0.09375,0.53125
2640,0.3625,0.75624996,0.0625,0.44375
2650,0.3375,0.70000005,0.05,0.48749998
2660,0.35000002,0.70625,0.1125,0.58750004
2670,0.36875004,0.68125,0.06875,0.58125
2680,0.32500002,0.76875,0.075,0.59375
2690,0.3875,0.69375,0.09375,0.48125
2700,0.275,0.76250005,0.06875,0.525
2710,0.33749998,0.78125,0.03125,0.51250005
2720,0.30625,0.71250004,0.056250002,0.5375
2730,0.30625,0.69375,0.087500006,0.53125
2740,0.325,0.74375,0.0625,0.49375
2750,0.35000002,0.7375,0.09375,0.5
2760,0.41250002,0.75625,0.08125,0.59375
2770,0.375,0.77500004,0.0875,0.51875
2780,0.375,0.725,0.1,0.55
2790,0.325,0.675,0.0625,0.5
2800,0.35000002,0.725,0.075,0.5625
2810,0.31875,0.73125,0.10625,0.57500005
2820,0.3125,0.73749995,0.15625,0.55
