iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.19375001,0.16875002,0.112500004,0.125
20,0.225,0.17500001,0.2125,0.17500001
30,0.225,0.20000002,0.23750001,0.2125
40,0.17500001,0.125,0.25,0.17500001
50,0.225,0.2125,0.1375,0.15
60,0.275,0.32500002,0.112500004,0.125
70,0.28750002,0.125,0.1875,0.2
80,0.15,0.275,0.17500001,0.112500004
90,0.17500001,0.15,0.1625,0.2
100,0.19999999,0.25,0.17500001,0.225
110,0.28750002,0.2,0.28750002,0.1875
120,0.2,0.225,0.15,0.15
130,0.2375,0.2625,0.17500001,0.25
140,0.2375,0.2125,0.2625,0.23750001
150,0.33749998,0.28750002,0.15,0.1875
160,0.225,0.2625,0.275,0.2375
170,0.2125,0.2,0.17500001,0.23750001
180,0.17500001,0.2625,0.1375,0.175
190,0.2,0.2,0.2125,0.2
200,0.2,0.2,0.2,0.2
210,0.2,0.2,0.2,0.2
220,0.2,0.2,0.2,0.2
230,0.2,0.2,0.2,0.1875
240,0.2,0.2,0.2,0.2125
250,0.2,0.17500001,0.2,0.2
260,0.2,0.2125,0.2,0.2
270,0.2,0.1875,0.2,0.17500001
280,0.2,0.23750001,0.2,0.17500001
290,0.2,0.2,0.2,0.2375
300,0.2,0.17500001,0.2,0.1875
310,0.2,0.1875,0.2,0.1875
320,0.2,0.225,0.2,0.17500001
330,0.2,0.2,0.2,0.1875
340,0.2,0.25,0.2,0.1875
350,0.2,0.23750001,0.2,0.1875
360,0.2,0.1875,0.2,0.16250001
370,0.2,0.1875,0.2,0.1875
380,0.2,0.1875,0.2,0.2125
390,0.2,0.16250001,0.2,0.17500001
400,0.2,0.1875,0.2,0.2
410,0.2,0.2125,0.2,0.1875
420,0.2,0.17500001,0.2,0.225
430,0.2,0.2,0.2,0.2
440,0.2,0.2,0.2,0.2
450,0.2,0.23750001,0.2,0.2125
460,0.2,0.2375,0.2,0.2
470,0.2,0.225,0.225,0.2375
480,0.2125,0.2125,0.225,0.25
490,0.15,0.275,0.1875,0.16250001
500,0.17500001,0.1875,0.2,0.2375
510,0.225,0.3,0.175,0.1875
520,0.25,0.33750004,0.1875,0.2
