iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_train_en_params_dist,task_train_tail_params_dist,task_test_acc_pre_optim,task_test_acc_post_optim,task_test_en_params_dist,task_test_tail_params_dist
800,0.26,0.56,nan,0.44591373,0.088,0.41599998,nan,0.47287804
810,0.268,0.568,nan,0.3923882,0.08,0.42,nan,0.4352594
820,0.24400002,0.56,nan,0.42795628,0.072000004,0.416,nan,0.4554264
830,0.24,0.58,nan,0.3894471,0.116000004,0.4,nan,0.474646
840,0.21200001,0.568,nan,0.4175341,0.1,0.384,nan,0.5070869
850,0.244,0.55600005,nan,0.42589074,0.064,0.48,nan,0.478045
860,0.272,0.588,nan,0.42557153,0.076000005,0.432,nan,0.5005226
870,0.32800004,0.61200005,nan,0.44825196,0.108,0.46400002,nan,0.4582215
880,0.252,0.612,nan,0.49928975,0.12,0.472,nan,0.45926267
890,0.26400003,0.59200007,nan,0.47985324,0.08,0.44,nan,0.48026738
900,0.22399999,0.59200007,nan,0.43319637,0.096,0.38799998,nan,0.43029848
910,0.268,0.616,nan,0.47105446,0.103999995,0.46800002,nan,0.58930767
920,0.24,0.596,nan,0.4886343,0.08,0.404,nan,0.5004176
930,0.29999998,0.572,nan,0.4469698,0.1,0.47599998,nan,0.55324244
940,0.30400002,0.628,nan,0.42287502,0.088,0.436,nan,0.5112081
950,0.292,0.65199995,nan,0.4916423,0.096,0.5,nan,0.51929396
960,0.268,0.59599996,nan,0.4013998,0.124000005,0.47599998,nan,0.4476386
970,0.272,0.636,nan,0.50671613,0.11200001,0.472,nan,0.5422348
980,0.23200001,0.628,nan,0.45676142,0.08,0.516,nan,0.50565124
990,0.26,0.66,nan,0.4910472,0.104,0.48800004,nan,0.54682595
1000,0.264,0.632,nan,0.45866242,0.108,0.51600003,nan,0.5522574
1010,0.28000003,0.66800004,nan,0.48191553,0.152,0.48800004,nan,0.4984184
1020,0.24400002,0.572,nan,0.47811157,0.08,0.50399995,nan,0.5612955
1030,0.256,0.62,nan,0.4382916,0.063999996,0.444,nan,0.5207104
1040,0.29600003,0.644,nan,0.50104237,0.1,0.432,nan,0.56787497
1050,0.24,0.636,nan,0.4701696,0.076000005,0.44800004,nan,0.44718915
1060,0.29200003,0.67200005,nan,0.49154496,0.116000004,0.524,nan,0.5576664
1070,0.26,0.64,nan,0.46288735,0.08,0.47599998,nan,0.52978414
1080,0.28800002,0.696,nan,0.49250618,0.064,0.47199997,nan,0.49951386
1090,0.22399999,0.68,nan,0.4605287,0.076,0.504,nan,0.5031083
1100,0.22799999,0.68,nan,0.522112,0.12,0.496,nan,0.52889127
1110,0.276,0.65599996,nan,0.49661788,0.111999996,0.536,nan,0.5663023
1120,0.336,0.684,nan,0.5127692,0.104,0.544,nan,0.5270077
1130,0.256,0.632,nan,0.46648568,0.103999995,0.548,nan,0.5022658
1140,0.288,0.628,nan,0.560007,0.1,0.49600002,nan,0.5625135
